Frame Number, Queue Density, Dynamic Density
1, 0.00922145, 0
2, 0.0192338, 0.00679321
3, 0.0299668, 0.0159398
4, 0.0413943, 0.0259757
5, 0.0536674, 0.0369498
6, 0.0668125, 0.0487774
7, 0.0804776, 0.0609769
8, 0.0944776, 0.073488
9, 0.108385, 0.0857589
10, 0.122658, 0.0980012
11, 0.128835, 0.110819
12, 0.135122, 0.117742
13, 0.140519, 0.122563
14, 0.145293, 0.12572
15, 0.149915, 0.127093
16, 0.154474, 0.126809
17, 0.159954, 0.126452
18, 0.167358, 0.126894
19, 0.175014, 0.127843
20, 0.183057, 0.128662
21, 0.189191, 0.127918
22, 0.195566, 0.12556
23, 0.203392, 0.124491
24, 0.211559, 0.12429
25, 0.21935, 0.126573
26, 0.227026, 0.131418
27, 0.233923, 0.137341
28, 0.239037, 0.143219
29, 0.243392, 0.147759
30, 0.24698, 0.152665
31, 0.251242, 0.159398
32, 0.253474, 0.166352
33, 0.254244, 0.171267
34, 0.254441, 0.17469
35, 0.253961, 0.175818
36, 0.252514, 0.174353
37, 0.250193, 0.169463
38, 0.247173, 0.162056
39, 0.245014, 0.154977
40, 0.242974, 0.147281
41, 0.240972, 0.137677
42, 0.239863, 0.127225
43, 0.23908, 0.11683
44, 0.238154, 0.106411
45, 0.23765, 0.0958318
46, 0.23759, 0.0850687
47, 0.237806, 0.0758148
48, 0.238056, 0.067233
49, 0.237262, 0.0590278
50, 0.236373, 0.0509259
51, 0.235586, 0.0440525
52, 0.234688, 0.0386327
53, 0.233542, 0.0332083
54, 0.232887, 0.0297045
55, 0.232295, 0.0267932
56, 0.232819, 0.0257369
57, 0.234096, 0.0259907
58, 0.23521, 0.0269383
59, 0.236324, 0.028216
60, 0.237219, 0.0293565
61, 0.238009, 0.0301389
62, 0.238483, 0.0308256
63, 0.239333, 0.0323796
64, 0.240415, 0.0344661
65, 0.241485, 0.0378025
66, 0.241111, 0.0399753
67, 0.240071, 0.0408858
68, 0.239611, 0.0412809
69, 0.239451, 0.0417222
70, 0.239881, 0.0430201
71, 0.240187, 0.0438009
72, 0.241299, 0.0445139
73, 0.242261, 0.0446929
74, 0.241949, 0.0436049
75, 0.241935, 0.0416991
76, 0.241772, 0.0400293
77, 0.242341, 0.0404985
78, 0.243356, 0.042125
79, 0.244961, 0.0432392
80, 0.246451, 0.0441898
81, 0.249366, 0.0465556
82, 0.254795, 0.051929
83, 0.262352, 0.0596281
84, 0.273269, 0.0711358
85, 0.286431, 0.0844907
86, 0.302427, 0.0989707
87, 0.319136, 0.113252
88, 0.336094, 0.12759
89, 0.352696, 0.143674
90, 0.37008, 0.16127
91, 0.387512, 0.179238
92, 0.402455, 0.193167
93, 0.415483, 0.205023
94, 0.426338, 0.21313
95, 0.434841, 0.218704
96, 0.441279, 0.222307
97, 0.446202, 0.224451
98, 0.449985, 0.22473
99, 0.454369, 0.222813
100, 0.458665, 0.219418
101, 0.46334, 0.215373
102, 0.469369, 0.213227
103, 0.476213, 0.211441
104, 0.483573, 0.208754
105, 0.491469, 0.204602
106, 0.499027, 0.201343
107, 0.506653, 0.197202
108, 0.514866, 0.193087
109, 0.520731, 0.189775
110, 0.525615, 0.186725
111, 0.529041, 0.18315
112, 0.530167, 0.179839
113, 0.530059, 0.17979
114, 0.529443, 0.183208
115, 0.529137, 0.189659
116, 0.529733, 0.196286
117, 0.530596, 0.204492
118, 0.531715, 0.21291
119, 0.533563, 0.220947
120, 0.536076, 0.227576
121, 0.538689, 0.232242
122, 0.543235, 0.234042
123, 0.549697, 0.227416
124, 0.556998, 0.217726
125, 0.563812, 0.206945
126, 0.569828, 0.196215
127, 0.575853, 0.183948
128, 0.581402, 0.172049
129, 0.588669, 0.161212
130, 0.596079, 0.150762
131, 0.603326, 0.142675
132, 0.60957, 0.135752
133, 0.614278, 0.13371
134, 0.616713, 0.13348
135, 0.619241, 0.132586
136, 0.622191, 0.131048
137, 0.625358, 0.13037
138, 0.628495, 0.129981
139, 0.630245, 0.128998
140, 0.631558, 0.12776
141, 0.633039, 0.126059
142, 0.634509, 0.126148
143, 0.635795, 0.125333
144, 0.637198, 0.124965
145, 0.638192, 0.12436
146, 0.638903, 0.123822
147, 0.63957, 0.123328
148, 0.640471, 0.121647
149, 0.640473, 0.120245
150, 0.640225, 0.117995
151, 0.639392, 0.114505
152, 0.638052, 0.109395
153, 0.63614, 0.104368
154, 0.637377, 0.0976227
155, 0.637821, 0.0909722
156, 0.638849, 0.0831296
157, 0.639379, 0.074794
158, 0.639337, 0.0683048
159, 0.639497, 0.0625795
160, 0.640759, 0.0578819
161, 0.64323, 0.0548565
162, 0.646244, 0.0530301
163, 0.649846, 0.0519603
164, 0.651986, 0.0522342
165, 0.654516, 0.0528769
166, 0.656823, 0.0550374
167, 0.659155, 0.0573846
168, 0.662093, 0.0591917
169, 0.666866, 0.0607029
170, 0.670481, 0.0621644
171, 0.673213, 0.0622832
172, 0.675887, 0.0602199
173, 0.67883, 0.0577172
174, 0.679932, 0.0538962
175, 0.681069, 0.0508569
176, 0.679973, 0.0484066
177, 0.679176, 0.0459151
178, 0.678126, 0.0429969
179, 0.677205, 0.0394911
180, 0.676442, 0.0362774
181, 0.678025, 0.0343546
182, 0.679239, 0.0339919
183, 0.67983, 0.0334464
184, 0.681383, 0.0327596
185, 0.683473, 0.0315683
186, 0.683609, 0.0299529
187, 0.684155, 0.0287623
188, 0.685221, 0.0287114
189, 0.686631, 0.0290085
190, 0.687944, 0.0294684
191, 0.686823, 0.0295185
192, 0.686002, 0.0286443
193, 0.685591, 0.0280787
194, 0.685489, 0.0285228
195, 0.68535, 0.0292072
196, 0.687657, 0.0308908
197, 0.689865, 0.0323839
198, 0.691222, 0.0320444
199, 0.69273, 0.0312951
200, 0.694174, 0.0304896
201, 0.693781, 0.0300374
202, 0.693504, 0.0301644
203, 0.691225, 0.0317369
204, 0.688869, 0.0322334
205, 0.68651, 0.0324958
206, 0.685703, 0.0315143
207, 0.684222, 0.0303353
208, 0.6836, 0.0307307
209, 0.682447, 0.0310417
210, 0.681637, 0.0314336
211, 0.682957, 0.0318719
212, 0.683649, 0.0321856
213, 0.684873, 0.0312481
214, 0.686172, 0.0305274
215, 0.687536, 0.0300073
216, 0.68898, 0.0302326
