Frame Number, Queue Density, Dynamic Density
1, 0.016293, 0.000000
2, 0.024381, 0.000000
3, 0.033502, 0.000000
4, 0.042640, 0.000000
5, 0.052204, 0.000000
6, 0.061765, 0.000000
7, 0.072174, 0.000000
8, 0.082529, 0.000000
9, 0.092340, 0.000000
10, 0.094249, 0.000000
11, 0.096403, 0.000000
12, 0.098371, 0.000000
13, 0.099902, 0.000000
14, 0.101482, 0.000000
15, 0.102963, 0.000000
16, 0.104262, 0.000000
17, 0.105063, 0.000000
18, 0.106239, 0.000000
19, 0.107573, 0.000000
20, 0.109090, 0.000000
21, 0.110060, 0.000000
22, 0.111363, 0.000000
23, 0.112924, 0.000000
24, 0.114590, 0.000000
25, 0.116048, 0.000000
26, 0.118068, 0.000000
27, 0.119926, 0.000000
28, 0.121745, 0.000000
29, 0.123651, 0.000000
30, 0.125449, 0.000000
31, 0.127364, 0.000000
32, 0.129079, 0.000000
33, 0.130475, 0.000000
34, 0.131833, 0.000000
35, 0.132991, 0.000000
36, 0.133810, 0.000000
37, 0.134881, 0.000000
38, 0.135954, 0.000000
39, 0.136784, 0.000000
40, 0.137505, 0.000000
41, 0.138060, 0.000000
42, 0.138594, 0.000000
43, 0.138977, 0.000000
44, 0.139616, 0.000000
45, 0.139671, 0.000000
46, 0.139935, 0.000000
47, 0.139466, 0.000000
48, 0.138747, 0.000000
49, 0.139630, 0.000000
50, 0.139989, 0.000000
51, 0.140420, 0.000000
52, 0.141551, 0.000000
53, 0.142715, 0.000000
54, 0.144113, 0.000000
55, 0.145769, 0.000000
56, 0.147790, 0.000000
57, 0.150295, 0.000000
58, 0.152617, 0.000000
59, 0.154792, 0.000000
60, 0.156736, 0.000000
61, 0.158529, 0.000000
62, 0.159790, 0.000000
63, 0.160818, 0.000000
64, 0.161326, 0.000000
65, 0.161915, 0.000000
66, 0.162377, 0.000000
67, 0.162269, 0.000000
68, 0.162023, 0.000000
69, 0.161816, 0.000000
70, 0.161721, 0.000000
71, 0.161782, 0.000000
72, 0.162105, 0.000000
73, 0.162483, 0.000000
74, 0.163600, 0.000000
75, 0.164346, 0.000000
76, 0.165125, 0.000000
77, 0.165761, 0.000000
78, 0.167373, 0.000000
79, 0.168858, 0.000000
80, 0.170491, 0.000000
81, 0.171836, 0.000000
82, 0.173133, 0.000000
83, 0.175435, 0.000000
84, 0.177383, 0.000000
85, 0.180128, 0.000000
86, 0.183634, 0.000000
87, 0.186272, 0.000000
88, 0.189860, 0.000000
89, 0.193667, 0.000000
90, 0.197338, 0.000000
91, 0.201631, 0.000000
92, 0.205318, 0.000000
93, 0.208954, 0.000000
94, 0.211765, 0.000000
95, 0.213142, 0.000000
96, 0.215741, 0.000000
97, 0.218242, 0.000000
98, 0.219679, 0.000000
99, 0.220948, 0.000000
100, 0.221511, 0.000000
101, 0.221017, 0.000000
102, 0.220877, 0.000000
103, 0.220664, 0.000000
104, 0.220528, 0.000000
105, 0.219966, 0.000000
106, 0.219159, 0.000000
107, 0.218486, 0.000000
108, 0.217958, 0.000000
109, 0.218230, 0.000000
110, 0.219534, 0.000000
111, 0.220464, 0.000000
112, 0.222185, 0.000000
113, 0.224361, 0.000000
114, 0.226471, 0.000000
115, 0.229222, 0.000000
116, 0.232110, 0.000000
117, 0.234798, 0.000000
118, 0.237392, 0.000000
119, 0.239287, 0.000000
120, 0.240699, 0.000000
121, 0.242247, 0.000000
122, 0.242887, 0.000000
123, 0.243755, 0.000000
124, 0.244664, 0.000000
125, 0.245153, 0.000000
126, 0.245569, 0.000000
127, 0.245474, 0.000000
128, 0.246211, 0.000000
129, 0.247241, 0.000000
130, 0.248281, 0.000000
131, 0.249988, 0.000000
132, 0.251290, 0.000000
133, 0.252694, 0.000000
134, 0.253836, 0.000000
135, 0.255335, 0.000000
136, 0.256804, 0.000000
137, 0.258310, 0.000000
138, 0.259414, 0.000000
139, 0.260454, 0.000000
140, 0.261017, 0.000000
141, 0.261679, 0.000000
142, 0.261852, 0.000000
143, 0.262259, 0.000000
144, 0.262937, 0.000000
145, 0.262242, 0.000000
146, 0.262102, 0.000000
147, 0.262225, 0.000000
148, 0.261983, 0.000000
149, 0.261441, 0.000000
150, 0.260952, 0.000000
151, 0.260600, 0.000000
152, 0.260071, 0.000000
153, 0.259230, 0.000000
154, 0.259114, 0.000000
155, 0.258929, 0.000000
156, 0.258190, 0.000000
157, 0.257100, 0.000000
158, 0.256025, 0.000000
159, 0.255066, 0.000000
160, 0.253977, 0.000000
161, 0.252921, 0.000000
162, 0.252110, 0.000000
163, 0.251031, 0.000000
164, 0.250062, 0.000000
165, 0.249085, 0.000000
166, 0.248441, 0.000000
167, 0.247742, 0.000000
168, 0.247275, 0.000000
169, 0.246852, 0.000000
170, 0.246645, 0.000000
171, 0.246090, 0.000000
172, 0.245542, 0.000000
173, 0.245185, 0.000000
174, 0.244653, 0.000000
175, 0.244063, 0.000000
176, 0.243807, 0.000000
177, 0.243349, 0.000000
178, 0.242711, 0.000000
179, 0.241841, 0.000000
180, 0.241407, 0.000000
181, 0.240880, 0.000000
182, 0.240390, 0.000000
183, 0.239790, 0.000000
184, 0.239261, 0.000000
185, 0.238713, 0.000000
186, 0.238046, 0.000000
187, 0.237497, 0.000000
188, 0.237298, 0.000000
189, 0.236898, 0.000000
190, 0.236460, 0.000000
191, 0.236154, 0.000000
192, 0.236000, 0.000000
193, 0.235611, 0.000000
194, 0.235559, 0.000000
195, 0.235894, 0.000000
196, 0.236560, 0.000000
197, 0.236823, 0.000000
198, 0.237494, 0.000000
199, 0.237832, 0.000000
200, 0.238063, 0.000000
201, 0.238333, 0.000000
202, 0.238502, 0.000000
203, 0.238718, 0.000000
204, 0.238927, 0.000000
205, 0.238659, 0.000000
206, 0.238540, 0.000000
207, 0.238275, 0.000000
208, 0.237983, 0.000000
209, 0.237934, 0.000000
210, 0.237890, 0.000000
211, 0.237856, 0.000000
212, 0.237844, 0.000000
213, 0.237415, 0.000000
214, 0.237210, 0.000000
215, 0.237285, 0.000000
216, 0.237230, 0.000000
217, 0.237306, 0.000000
218, 0.237241, 0.000000
219, 0.237219, 0.000000
220, 0.236983, 0.000000
221, 0.236806, 0.000000
222, 0.236799, 0.000000
