Frame Number, Queue Density, Dynamic Density
1, 0.0100123, 0
2, 0.0214398, 0.0096929
3, 0.0345849, 0.0213812
4, 0.0485849, 0.033429
5, 0.062858, 0.0456713
6, 0.0791574, 0.0600309
7, 0.0953596, 0.0737701
8, 0.113063, 0.0888318
9, 0.134259, 0.107532
10, 0.156576, 0.126188
11, 0.169238, 0.145245
12, 0.182179, 0.153582
13, 0.194414, 0.158387
14, 0.206932, 0.163136
15, 0.218563, 0.16423
16, 0.22717, 0.163927
17, 0.235534, 0.167335
18, 0.241762, 0.170347
19, 0.244065, 0.169299
20, 0.245613, 0.168275
21, 0.246735, 0.166088
22, 0.246005, 0.162866
23, 0.244497, 0.157992
24, 0.241935, 0.151446
25, 0.239006, 0.145392
26, 0.237207, 0.137174
27, 0.235417, 0.124423
28, 0.235881, 0.110895
29, 0.237454, 0.0987099
30, 0.23746, 0.0848503
31, 0.237244, 0.0712407
32, 0.237671, 0.060321
33, 0.238031, 0.0524028
34, 0.238477, 0.0454074
35, 0.239594, 0.0423472
36, 0.240972, 0.0414259
37, 0.241951, 0.0429985
38, 0.241622, 0.0432639
39, 0.241969, 0.0434398
40, 0.243681, 0.0457099
41, 0.250014, 0.0520386
42, 0.26041, 0.0621281
43, 0.276035, 0.0774336
44, 0.294218, 0.0960664
45, 0.313299, 0.115605
46, 0.33388, 0.135877
47, 0.355443, 0.15548
48, 0.37767, 0.175978
49, 0.398619, 0.198193
50, 0.420508, 0.221142
51, 0.441478, 0.241086
52, 0.459901, 0.254349
53, 0.473897, 0.262247
54, 0.485684, 0.266048
55, 0.494863, 0.267099
56, 0.501809, 0.266165
57, 0.508761, 0.264287
58, 0.516914, 0.263497
59, 0.526247, 0.263858
60, 0.533643, 0.264909
61, 0.539316, 0.265639
62, 0.546002, 0.268569
63, 0.552613, 0.270782
64, 0.559074, 0.271843
65, 0.568998, 0.269265
66, 0.579789, 0.262838
67, 0.589525, 0.257511
68, 0.598491, 0.249565
69, 0.606968, 0.238215
70, 0.615691, 0.225894
71, 0.623406, 0.213052
72, 0.627244, 0.200386
73, 0.630906, 0.188585
74, 0.635151, 0.177778
75, 0.636425, 0.171515
76, 0.636556, 0.168576
77, 0.639195, 0.164875
78, 0.640727, 0.160204
79, 0.641586, 0.153198
80, 0.642809, 0.146151
81, 0.644483, 0.138366
82, 0.64786, 0.130405
83, 0.650987, 0.121678
84, 0.653883, 0.113576
85, 0.658761, 0.105074
86, 0.664448, 0.0972566
87, 0.667691, 0.090152
88, 0.669109, 0.0859194
89, 0.671205, 0.0831559
90, 0.673849, 0.0773997
91, 0.677528, 0.0716559
92, 0.680182, 0.0656343
93, 0.679431, 0.0603627
94, 0.679654, 0.0565378
95, 0.679996, 0.0528434
96, 0.680182, 0.0497716
97, 0.681632, 0.0462118
98, 0.684076, 0.0428464
99, 0.686498, 0.0401026
100, 0.689255, 0.0385339
101, 0.688365, 0.0378295
102, 0.685907, 0.0378681
103, 0.687198, 0.0378333
104, 0.687723, 0.0374753
105, 0.688356, 0.0370887
106, 0.688978, 0.0373704
107, 0.687921, 0.0366381
108, 0.688557, 0.0356836
109, 0.687503, 0.0352616
110, 0.685732, 0.0355147
111, 0.685525, 0.0358557
112, 0.687081, 0.0360455
113, 0.68835, 0.0361134
114, 0.687165, 0.0356775
115, 0.685485, 0.0353102
116, 0.684122, 0.033956
117, 0.684509, 0.0340255
118, 0.684613, 0.0340532
119, 0.684485, 0.0339236
120, 0.684924, 0.0330857
121, 0.685132, 0.0321825
122, 0.685261, 0.0313275
123, 0.685557, 0.0315008
124, 0.688614, 0.032353
125, 0.69175, 0.0334919
126, 0.694332, 0.0340158
127, 0.69575, 0.0350849
128, 0.695583, 0.0356593
129, 0.695371, 0.0353515
130, 0.695107, 0.0358175
131, 0.69502, 0.0358657
132, 0.695798, 0.0363094
133, 0.696166, 0.0363376
134, 0.692888, 0.0366389
135, 0.689554, 0.0367184
136, 0.686899, 0.0385602
137, 0.68429, 0.0393885
138, 0.682172, 0.0407052
139, 0.682882, 0.0430895
140, 0.683956, 0.0456628
141, 0.685609, 0.0494977
142, 0.684502, 0.0540849
143, 0.684574, 0.0623349
144, 0.68933, 0.0758843
145, 0.695838, 0.0964653
146, 0.704412, 0.121336
147, 0.71103, 0.157432
148, 0.720119, 0.203795
149, 0.728076, 0.255238
150, 0.732188, 0.312098
151, 0.732576, 0.372872
152, 0.732402, 0.433135
153, 0.725976, 0.492433
154, 0.717722, 0.54532
155, 0.704986, 0.595313
156, 0.687755, 0.641156
157, 0.670157, 0.670157
158, 0.654103, 0.654103
159, 0.632916, 0.632916
160, 0.618111, 0.618111
161, 0.609255, 0.609255
162, 0.601453, 0.601453
163, 0.59875, 0.59875
