Frame Number, Queue Density, Dynamic Density
1, 0.0788426, 0
2, 0.0785725, 0
3, 0.0834491, 0
4, 0.0883333, 0
5, 0.091929, 0
6, 0.0936806, 0
7, 0.0988156, 0
8, 0.100995, 0
9, 0.099537, 0
10, 0.100046, 0
11, 0.101373, 0
12, 0.103349, 0
13, 0.103627, 0
14, 0.10588, 0
15, 0.107253, 0
16, 0.109491, 0
17, 0.109383, 0
18, 0.11037, 0
19, 0.111883, 0
20, 0.114213, 0
21, 0.11375, 0
22, 0.115293, 0
23, 0.118395, 0
24, 0.121127, 0
25, 0.122639, 0
26, 0.125671, 0
27, 0.127157, 0
28, 0.128326, 0
29, 0.130602, 0
30, 0.130918, 0
31, 0.132461, 0
32, 0.133773, 0
33, 0.134221, 0
34, 0.135015, 0
35, 0.136142, 0
36, 0.13566, 0
37, 0.137407, 0
38, 0.13929, 0
39, 0.13909, 0
40, 0.139167, 0
41, 0.139182, 0
42, 0.139259, 0
43, 0.138873, 0
44, 0.140556, 0
45, 0.138322, 0
46, 0.138931, 0
47, 0.136655, 0
48, 0.13429, 0
49, 0.14115, 0
50, 0.141921, 0
51, 0.142716, 0
52, 0.14642, 0
53, 0.149275, 0
54, 0.15071, 0
55, 0.153156, 0
56, 0.154915, 0
57, 0.157168, 0
58, 0.160691, 0
59, 0.162145, 0
60, 0.162083, 0
61, 0.163059, 0
62, 0.162438, 0
63, 0.161593, 0
64, 0.159815, 0
65, 0.160239, 0
66, 0.161011, 0
67, 0.160216, 0
68, 0.159877, 0
69, 0.159907, 0
70, 0.160895, 0
71, 0.162068, 0
72, 0.163403, 0
73, 0.163519, 0
74, 0.167539, 0
75, 0.167948, 0
76, 0.168137, 0
77, 0.167215, 0
78, 0.171535, 0
79, 0.173711, 0
80, 0.175965, 0
81, 0.176381, 0
82, 0.176574, 0
83, 0.183573, 0
84, 0.185432, 0
85, 0.190448, 0
86, 0.196389, 0
87, 0.197238, 0
88, 0.203534, 0
89, 0.208943, 0
90, 0.211096, 0
91, 0.215386, 0
92, 0.21784, 0
93, 0.220031, 0
94, 0.219522, 0
95, 0.214491, 0
96, 0.218777, 0
97, 0.223522, 0
98, 0.223183, 0
99, 0.223368, 0
100, 0.222025, 0
101, 0.217365, 0
102, 0.217813, 0
103, 0.217396, 0
