Time of video, Queue Density, Dynamic Density
0.0666092, 0.0760185, 0
0.133218, 0.0801235, 0
0.199828, 0.0823225, 0
0.266437, 0.0882099, 0
0.333046, 0.0921142, 0
0.399655, 0.0938117, 0
0.466264, 0.0983642, 0
0.532873, 0.10216, 0
0.599483, 0.0995602, 0
0.666092, 0.101505, 0
0.732701, 0.100733, 0
0.79931, 0.10375, 0
0.865919, 0.104167, 0
0.932529, 0.106127, 0
0.999138, 0.10838, 0
1.06575, 0.109136, 0
1.13236, 0.109182, 0
1.19897, 0.110231, 0
1.26557, 0.112276, 0
1.33218, 0.113873, 0
1.39879, 0.113974, 0
1.4654, 0.115054, 0
1.53201, 0.118098, 0
1.59862, 0.120386, 0
1.66523, 0.122917, 0
1.73184, 0.125421, 0
1.79845, 0.127215, 0
1.86506, 0.127924, 0
1.93167, 0.129668, 0
1.99828, 0.131505, 0
2.06488, 0.13331, 0
2.13149, 0.134769, 0
2.1981, 0.133947, 0
2.26471, 0.134796, 0
2.33132, 0.135845, 0
2.39793, 0.135984, 0
2.46454, 0.137014, 0
2.53115, 0.140054, 0
2.59776, 0.138515, 0
2.66437, 0.139414, 0
2.73098, 0.139726, 0
2.79759, 0.139591, 0
2.86419, 0.13941, 0
2.9308, 0.139576, 0
2.99741, 0.138418, 0
3.06402, 0.140941, 0
3.13063, 0.139877, 0
3.19724, 0.136782, 0
3.26385, 0.141373, 0
3.33046, 0.141929, 0
3.39707, 0.142735, 0
3.46368, 0.145922, 0
3.53029, 0.148981, 0
3.5969, 0.150282, 0
3.6635, 0.15402, 0
3.73011, 0.156736, 0
3.79672, 0.156763, 0
3.86333, 0.163059, 0
3.92994, 0.163248, 0
3.99655, 0.163638, 0
4.06316, 0.164417, 0
4.12977, 0.163615, 0
4.19638, 0.163248, 0
4.26299, 0.161103, 0
4.3296, 0.161505, 0
4.39621, 0.160687, 0
4.46282, 0.161042, 0
4.52942, 0.160286, 0
4.59603, 0.16061, 0
4.66264, 0.161227, 0
4.72925, 0.162199, 0
4.79586, 0.164421, 0
4.86247, 0.163245, 0
4.92908, 0.167307, 0
4.99569, 0.16848, 0
5.0623, 0.167569, 0
5.12891, 0.166659, 0
5.19552, 0.169433, 0
5.26213, 0.171196, 0
5.32873, 0.174082, 0
5.39534, 0.175096, 0
5.46195, 0.177045, 0
5.52856, 0.183507, 0
5.59517, 0.185147, 0
5.66178, 0.18985, 0
5.72839, 0.194618, 0
5.795, 0.19738, 0
5.86161, 0.20164, 0
5.92822, 0.209066, 0
5.99483, 0.211547, 0
6.06144, 0.216655, 0
6.12804, 0.217674, 0
6.19465, 0.220556, 0
6.26126, 0.218877, 0
6.32787, 0.21534, 0
6.39448, 0.215598, 0
6.46109, 0.221763, 0
6.5277, 0.220841, 0
6.59431, 0.21919, 0
6.66092, 0.219761, 0
6.72753, 0.214035, 0
6.79414, 0.213765, 0
6.86075, 0.211389, 0
6.92735, 0.209969, 0
6.99396, 0.209942, 0
7.06057, 0.206948, 0
7.12718, 0.211458, 0
7.19379, 0.21439, 0
7.2604, 0.215127, 0
7.32701, 0.22032, 0
7.39362, 0.221127, 0
7.46023, 0.22468, 0
7.52684, 0.227342, 0
7.59345, 0.22843, 0
7.66006, 0.232099, 0
7.72666, 0.237161, 0
7.79327, 0.237473, 0
7.85988, 0.239614, 0
7.92649, 0.241211, 0
7.9931, 0.240683, 0
8.05971, 0.242338, 0
8.12632, 0.240664, 0
8.19293, 0.241316, 0
8.25954, 0.246049, 0
8.32615, 0.245991, 0
8.39276, 0.248206, 0
8.45937, 0.246231, 0
