Frame Number, Queue Density, Dynamic Density
1,   0.015327,   0.000000
2,   0.023312,   0.000000
3,   0.031830,   0.000000
4,   0.041585,   0.000000
5,   0.050827,   0.000000
6,   0.060103,   0.000000
7,   0.070468,   0.000000
8,   0.080846,   0.000000
9,   0.090593,   0.000000
10,   0.093438,   0.000000
11,   0.096005,   0.000000
12,   0.098481,   0.000000
13,   0.100133,   0.000000
14,   0.102106,   0.000000
15,   0.103579,   0.000000
16,   0.104677,   0.000000
17,   0.105529,   0.000000
18,   0.106681,   0.000000
19,   0.108199,   0.000000
20,   0.109623,   0.000000
21,   0.110740,   0.000000
22,   0.112106,   0.000000
23,   0.113127,   0.000000
24,   0.114767,   0.000000
25,   0.116719,   0.000000
26,   0.118890,   0.000000
27,   0.120975,   0.000000
28,   0.122725,   0.000000
29,   0.124658,   0.000000
30,   0.126410,   0.000000
31,   0.128114,   0.000000
32,   0.130050,   0.000000
33,   0.131706,   0.000000
34,   0.133042,   0.000000
35,   0.134093,   0.000000
36,   0.134968,   0.000000
37,   0.135970,   0.000000
38,   0.136535,   0.000000
39,   0.137476,   0.000000
40,   0.138230,   0.000000
41,   0.138731,   0.000000
42,   0.139226,   0.000000
43,   0.139601,   0.000000
44,   0.140118,   0.000000
45,   0.140247,   0.000000
46,   0.140757,   0.000000
47,   0.140780,   0.000000
48,   0.139866,   0.000000
49,   0.140471,   0.000000
50,   0.140619,   0.000000
51,   0.141077,   0.000000
52,   0.141849,   0.000000
53,   0.143258,   0.000000
54,   0.144580,   0.000000
55,   0.146191,   0.000000
56,   0.148230,   0.000000
57,   0.150748,   0.000000
58,   0.153315,   0.000000
59,   0.155776,   0.000000
60,   0.157612,   0.000000
61,   0.160108,   0.000000
62,   0.160866,   0.000000
63,   0.161889,   0.000000
64,   0.162335,   0.000000
65,   0.163164,   0.000000
66,   0.163423,   0.000000
67,   0.162950,   0.000000
68,   0.162921,   0.000000
69,   0.162453,   0.000000
70,   0.162350,   0.000000
71,   0.162208,   0.000000
72,   0.162887,   0.000000
73,   0.163333,   0.000000
74,   0.164277,   0.000000
75,   0.165020,   0.000000
76,   0.165910,   0.000000
77,   0.166057,   0.000000
78,   0.167230,   0.000000
79,   0.168636,   0.000000
80,   0.170238,   0.000000
81,   0.170983,   0.000000
82,   0.172682,   0.000000
83,   0.174488,   0.000000
84,   0.176160,   0.000000
85,   0.178603,   0.000000
86,   0.182225,   0.000000
87,   0.184883,   0.000000
88,   0.188571,   0.000000
89,   0.192377,   0.000000
90,   0.196029,   0.000000
91,   0.200324,   0.000000
92,   0.203763,   0.000000
93,   0.207352,   0.000000
94,   0.210522,   0.000000
95,   0.211662,   0.000000
96,   0.213746,   0.000000
97,   0.215922,   0.000000
98,   0.217074,   0.000000
99,   0.217721,   0.000000
100,   0.218361,   0.000000
101,   0.217972,   0.000000
102,   0.217660,   0.000000
103,   0.216639,   0.000000
104,   0.216149,   0.000000
105,   0.215584,   0.000000
106,   0.214275,   0.000000
107,   0.214077,   0.000000
108,   0.213941,   0.000000
109,   0.213777,   0.000000
110,   0.214671,   0.000000
111,   0.215768,   0.000000
112,   0.217463,   0.000000
113,   0.219411,   0.000000
114,   0.221223,   0.000000
115,   0.224112,   0.000000
116,   0.226984,   0.000000
117,   0.229358,   0.000000
118,   0.232296,   0.000000
119,   0.234503,   0.000000
120,   0.236414,   0.000000
121,   0.238598,   0.000000
122,   0.239676,   0.000000
123,   0.241139,   0.000000
124,   0.243014,   0.000000
125,   0.243867,   0.000000
126,   0.244846,   0.000000
127,   0.245069,   0.000000
128,   0.245851,   0.000000
129,   0.246579,   0.000000
130,   0.247358,   0.000000
131,   0.248597,   0.000000
132,   0.249853,   0.000000
133,   0.250488,   0.000000
134,   0.251295,   0.000000
135,   0.252426,   0.000000
136,   0.253602,   0.000000
137,   0.255040,   0.000000
138,   0.256136,   0.000000
139,   0.256965,   0.000000
140,   0.258009,   0.000000
141,   0.259222,   0.000000
142,   0.259721,   0.000000
143,   0.260120,   0.000000
144,   0.260846,   0.000000
145,   0.259511,   0.000000
146,   0.259039,   0.000000
147,   0.259216,   0.000000
148,   0.258475,   0.000000
149,   0.257233,   0.000000
150,   0.256326,   0.000000
151,   0.255477,   0.000000
152,   0.255068,   0.000000
153,   0.254770,   0.000000
154,   0.254664,   0.000000
155,   0.255151,   0.000000
156,   0.254858,   0.000000
157,   0.253901,   0.000000
158,   0.253148,   0.000000
159,   0.252344,   0.000000
160,   0.251912,   0.000000
161,   0.250543,   0.000000
162,   0.249475,   0.000000
163,   0.249221,   0.000000
164,   0.247758,   0.000000
165,   0.246927,   0.000000
166,   0.246375,   0.000000
167,   0.246151,   0.000000
168,   0.245821,   0.000000
169,   0.244750,   0.000000
170,   0.244883,   0.000000
171,   0.244883,   0.000000
172,   0.243485,   0.000000
173,   0.243222,   0.000000
174,   0.242128,   0.000000
175,   0.241267,   0.000000
176,   0.240478,   0.000000
177,   0.239611,   0.000000
178,   0.239248,   0.000000
179,   0.238421,   0.000000
180,   0.237520,   0.000000
181,   0.237742,   0.000000
182,   0.236829,   0.000000
183,   0.237202,   0.000000
184,   0.236880,   0.000000
185,   0.236745,   0.000000
186,   0.236179,   0.000000
187,   0.235796,   0.000000
188,   0.235546,   0.000000
189,   0.235782,   0.000000
190,   0.235608,   0.000000
191,   0.235282,   0.000000
192,   0.234813,   0.000000
193,   0.234468,   0.000000
194,   0.234795,   0.000000
195,   0.236105,   0.000000
196,   0.237449,   0.000000
197,   0.238019,   0.000000
198,   0.239213,   0.000000
199,   0.239826,   0.000000
200,   0.240725,   0.000000
201,   0.241193,   0.000000
202,   0.241821,   0.000000
203,   0.242173,   0.000000
204,   0.242483,   0.000000
205,   0.241813,   0.000000
206,   0.241719,   0.000000
207,   0.241583,   0.000000
208,   0.240880,   0.000000
209,   0.240441,   0.000000
210,   0.240319,   0.000000
211,   0.240191,   0.000000
212,   0.240617,   0.000000
213,   0.239710,   0.000000
214,   0.240039,   0.000000
215,   0.240069,   0.000000
216,   0.239525,   0.000000
217,   0.239875,   0.000000
218,   0.239699,   0.000000
219,   0.240110,   0.000000
220,   0.238424,   0.000000
221,   0.236943,   0.000000
222,   0.236639,   0.000000
223,   0.235489,   0.000000
224,   0.234699,   0.000000
225,   0.233960,   0.000000
226,   0.233536,   0.000000
227,   0.233078,   0.000000
228,   0.232105,   0.000000
229,   0.232009,   0.000000
230,   0.232464,   0.000000
231,   0.232530,   0.000000
232,   0.232873,   0.000000
233,   0.233287,   0.000000
234,   0.233884,   0.000000
235,   0.233741,   0.000000
236,   0.233912,   0.000000
237,   0.234056,   0.000000
238,   0.234560,   0.000000
239,   0.234168,   0.000000
240,   0.234371,   0.000000
241,   0.233932,   0.000000
242,   0.233605,   0.000000
243,   0.233241,   0.000000
244,   0.233298,   0.000000
245,   0.233039,   0.000000
246,   0.232843,   0.000000
247,   0.232605,   0.000000
248,   0.232458,   0.000000
249,   0.232602,   0.000000
250,   0.232750,   0.000000
251,   0.233231,   0.000000
252,   0.233662,   0.000000
253,   0.233623,   0.000000
254,   0.233597,   0.000000
255,   0.233481,   0.000000
256,   0.233352,   0.000000
257,   0.233847,   0.000000
258,   0.233541,   0.000000
259,   0.233322,   0.000000
260,   0.233260,   0.000000
261,   0.233069,   0.000000
262,   0.232870,   0.000000
263,   0.232814,   0.000000
264,   0.232330,   0.000000
265,   0.232642,   0.000000
266,   0.232331,   0.000000
267,   0.231966,   0.000000
268,   0.232238,   0.000000
269,   0.232066,   0.000000
270,   0.231178,   0.000000
271,   0.230584,   0.000000
272,   0.230036,   0.000000
273,   0.229807,   0.000000
274,   0.229562,   0.000000
275,   0.229699,   0.000000
276,   0.230441,   0.000000
277,   0.230850,   0.000000
278,   0.231878,   0.000000
279,   0.232958,   0.000000
280,   0.235159,   0.000000
281,   0.236986,   0.000000
282,   0.238941,   0.000000
283,   0.241500,   0.000000
284,   0.243401,   0.000000
285,   0.245128,   0.000000
286,   0.246935,   0.000000
287,   0.247819,   0.000000
288,   0.249065,   0.000000
289,   0.249248,   0.000000
290,   0.249302,   0.000000
291,   0.249154,   0.000000
292,   0.248764,   0.000000
293,   0.248009,   0.000000
294,   0.247719,   0.000000
295,   0.245389,   0.000000
296,   0.243881,   0.000000
297,   0.242281,   0.000000
298,   0.241654,   0.000000
299,   0.240807,   0.000000
300,   0.239656,   0.000000
301,   0.238906,   0.000000
