Time of video, Queue Density, Dynamic Density
0.0666092, 0.0169198, 0.000416667
0.133218, 0.0285525, 0.00586265
0.199828, 0.0395154, 0.0109583
0.266437, 0.050409, 0.0182978
0.333046, 0.0622809, 0.0266628
0.399655, 0.0734028, 0.0351057
0.466264, 0.0860694, 0.0455455
0.532873, 0.0987454, 0.0557515
0.599483, 0.110557, 0.0661196
0.666092, 0.11477, 0.0745378
0.732701, 0.117367, 0.0815332
0.79931, 0.119478, 0.0877106
0.865919, 0.121299, 0.0922091
0.932529, 0.122665, 0.0954066
0.999138, 0.124603, 0.097223
1.06575, 0.126241, 0.0977932
1.13236, 0.12723, 0.0985826
1.19897, 0.128429, 0.0969784
1.26557, 0.130154, 0.0962701
1.33218, 0.130574, 0.0965278
1.39879, 0.131826, 0.0957137
1.4654, 0.133906, 0.0946057
1.53201, 0.136052, 0.0933063
1.59862, 0.138204, 0.0916458
1.66523, 0.140262, 0.089527
1.73184, 0.142799, 0.0881713
1.79845, 0.145154, 0.0864074
1.86506, 0.148022, 0.0854367
1.93167, 0.151474, 0.0846451
1.99828, 0.155577, 0.0828241
2.06488, 0.158688, 0.0818843
2.13149, 0.162065, 0.081716
2.1981, 0.16551, 0.0814861
2.26471, 0.169632, 0.0821096
2.33132, 0.174674, 0.083098
2.39793, 0.1793, 0.083135
2.46454, 0.184934, 0.0833773
2.53115, 0.190707, 0.0842461
2.59776, 0.195921, 0.0843233
2.66437, 0.201354, 0.0845447
2.73098, 0.207078, 0.0840741
2.79759, 0.212274, 0.0838179
2.86419, 0.217112, 0.0834792
2.9308, 0.221498, 0.0824961
2.99741, 0.222132, 0.0817145
3.06402, 0.224079, 0.0812114
3.13063, 0.225085, 0.0809707
3.19724, 0.225573, 0.079304
3.26385, 0.227487, 0.0784174
3.33046, 0.228316, 0.0778256
3.39707, 0.229264, 0.0772276
3.46368, 0.230495, 0.0765116
3.53029, 0.232378, 0.0764074
3.5969, 0.235009, 0.075588
3.6635, 0.23886, 0.0751327
3.73011, 0.242871, 0.0750147
3.79672, 0.247242, 0.0748503
3.86333, 0.251465, 0.0757778
3.92994, 0.254994, 0.0760471
3.99655, 0.259249, 0.0766412
4.06316, 0.262781, 0.0766211
4.12977, 0.265211, 0.0769105
4.19638, 0.267668, 0.0770216
4.26299, 0.268762, 0.0775548
4.3296, 0.269719, 0.0777693
4.39621, 0.270495, 0.0777986
4.46282, 0.270671, 0.0773449
4.52942, 0.271016, 0.077287
4.59603, 0.270553, 0.0755625
4.66264, 0.27088, 0.0745741
4.72925, 0.270464, 0.0746767
4.79586, 0.271092, 0.0731366
4.86247, 0.27212, 0.0712346
4.92908, 0.273736, 0.0695324
4.99569, 0.274616, 0.0676867
5.0623, 0.275626, 0.0652446
5.12891, 0.276687, 0.0641728
5.19552, 0.278076, 0.0610787
5.26213, 0.279853, 0.0590563
5.32873, 0.280906, 0.0576011
5.39534, 0.283069, 0.0563164
5.46195, 0.285078, 0.0559375
5.52856, 0.288921, 0.0570208
5.59517, 0.291774, 0.0577106
5.66178, 0.295387, 0.0602832
5.72839, 0.299529, 0.0636026
5.795, 0.303659, 0.0676782
5.86161, 0.307546, 0.0730046
5.92822, 0.313566, 0.078159
5.99483, 0.318425, 0.0836134
6.06144, 0.323154, 0.0894344
6.12804, 0.327827, 0.0945
6.19465, 0.331522, 0.0990108
6.26126, 0.334473, 0.103367
6.32787, 0.330846, 0.109992
6.39448, 0.330683, 0.114596
6.46109, 0.331291, 0.118136
6.5277, 0.33034, 0.121201
6.59431, 0.329992, 0.122345
6.66092, 0.329545, 0.123517
6.72753, 0.327708, 0.124992
6.79414, 0.326802, 0.124363
6.86075, 0.325156, 0.12113
6.92735, 0.326366, 0.117897
6.99396, 0.328005, 0.113459
7.06057, 0.327718, 0.110268
7.12718, 0.328601, 0.107508
7.19379, 0.328891, 0.105348
7.2604, 0.327907, 0.104095
7.32701, 0.328945, 0.102823
7.39362, 0.330212, 0.101749
7.46023, 0.332108, 0.102789
7.52684, 0.334531, 0.105182
7.59345, 0.335836, 0.106329
7.66006, 0.33891, 0.108601
7.72666, 0.342222, 0.111296
7.79327, 0.344323, 0.112629
7.85988, 0.347797, 0.114161
7.92649, 0.35057, 0.116123
7.9931, 0.355371, 0.119429
8.05971, 0.3583, 0.122262
8.12632, 0.36143, 0.123728
8.19293, 0.364553, 0.126522
8.25954, 0.366877, 0.129032
8.32615, 0.369001, 0.131617
8.39276, 0.37206, 0.132739
8.45937, 0.373722, 0.134093
8.52598, 0.376667, 0.135498
8.59258, 0.377789, 0.134897
8.65919, 0.378588, 0.134438
8.7258, 0.380005, 0.136305
8.79241, 0.380778, 0.136275
8.85902, 0.38176, 0.135761
8.92563, 0.383041, 0.135663
8.99224, 0.384019, 0.134991
9.05885, 0.385418, 0.134454
9.12546, 0.386419, 0.133945
9.19207, 0.386681, 0.133127
9.25868, 0.388197, 0.1321
9.32529, 0.388296, 0.130962
9.39189, 0.389142, 0.1287
9.4585, 0.389051, 0.127272
9.52511, 0.388819, 0.126287
9.59172, 0.388665, 0.123633
9.65833, 0.385546, 0.123329
9.72494, 0.383245, 0.122749
9.79155, 0.382091, 0.121305
9.85816, 0.379341, 0.119546
9.92477, 0.377193, 0.118708
9.99138, 0.374108, 0.116262
10.058, 0.372409, 0.11489
10.1246, 0.369891, 0.112894
10.1912, 0.368141, 0.107535
10.2578, 0.367784, 0.104219
10.3244, 0.36764, 0.101022
10.391, 0.366874, 0.0970293
10.4576, 0.3657, 0.0934406
10.5243, 0.364835, 0.0897253
10.5909, 0.364569, 0.0860872
10.6575, 0.364521, 0.0824946
