The video is over!
Frame Number 	Queue Density
1		0.0741512
2		0.0778472
3		0.0833218
4		0.0870911
5		0.0928472
6		0.0917978
7		0.0976775
8		0.102739
9		0.0989969
10		0.100247
11		0.100926
12		0.102654
13		0.105448
14		0.106019
15		0.107361
16		0.110139
17		0.108673
18		0.10966
19		0.111389
20		0.115586
21		0.113549
22		0.115509
23		0.11784
24		0.120802
25		0.124414
26		0.124761
27		0.126663
28		0.12733
29		0.129799
30		0.130193
31		0.131273
32		0.132863
33		0.135918
34		0.136543
35		0.134877
36		0.134965
37		0.138318
38		0.140015
39		0.137515
40		0.137932
41		0.139923
42		0.140324
43		0.140262
44		0.13909
45		0.139865
46		0.141524
47		0.139738
48		0.137284
49		0.142894
50		0.141196
51		0.144468
52		0.147701
53		0.150448
54		0.151713
55		0.154637
56		0.157307
57		0.156605
58		0.162442
59		0.163974
60		0.164352
61		0.164209
62		0.164097
63		0.163823
64		0.16027
65		0.162809
66		0.161998
67		0.161644
68		0.161674
69		0.161844
70		0.162184
71		0.163218
72		0.16466
73		0.164514
74		0.168256
75		0.168634
76		0.168673
77		0.167832
78		0.170687
79		0.172569
80		0.174961
81		0.175787
82		0.175826
83		0.184344
84		0.186049
85		0.190671
86		0.195455
87		0.197492
88		0.200471
89		0.212052
90		0.211227
91		0.216011
92		0.217786
93		0.220116
94		0.218241
95		0.215972
96		0.215513
97		0.220351
98		0.22022
99		0.218646
100		0.220397
101		0.214564
102		0.214101
103		0.211146
104		0.210953
105		0.209572
106		0.2089
107		0.213627
108		0.214371
109		0.218113
110		0.22049
111		0.221323
112		0.226242
113		0.229178
114		0.227882
115		0.23228
116		0.236748
117		0.237079
118		0.239093
119		0.242859
120		0.240972
121		0.244097
122		0.24088
123		0.244336
124		0.245521
125		0.245887
126		0.246235
127		0.246887
128		0.249097
129		0.250085
130		0.252338
131		0.251952
132		0.254807
133		0.256667
134		0.255166
135		0.255204
136		0.256196
137		0.258738
138		0.258642
139		0.258673
140		0.260521
141		0.260891
142		0.26039
143		0.258816
144		0.26071
145		0.251505
146		0.253048
147		0.254622
148		0.25402
149		0.25108
150		0.254595
151		0.254336
152		0.253519
153		0.25554
154		0.253194
155		0.253349
156		0.252346
157		0.251481
158		0.248511
159		0.245579
160		0.24456
161		0.243264
162		0.244074
163		0.24522
164		0.243719
165		0.243102
166		0.242635
167		0.242315
168		0.241235
169		0.24152
170		0.242454
171		0.243345
172		0.238287
173		0.23767
174		0.239043
175		0.238549
176		0.236813
177		0.23588
178		0.236134
179		0.235293
180		0.236682
181		0.235502
182		0.234236
183		0.237519
184		0.233426
185		0.233349
186		0.234653
187		0.232315
188		0.232269
189		0.232438
190		0.235015
191		0.232855
192		0.234699
193		0.234383
194		0.233302
195		0.240556
196		0.243094
197		0.242438
198		0.24142
199		0.240278
200		0.242145
201		0.241921
202		0.24314
203		0.24108
204		0.241258
205		0.239028
206		0.239313
207		0.238696
208		0.237955
209		0.237878
210		0.239043
211		0.23804
212		0.238657
213		0.237377
214		0.237801
215		0.240085
216		0.2401
217		0.238179
218		0.240532
219		0.241192
220		0.228827
221		0.230652
222		0.229853
223		0.231674
224		0.232785
225		0.232377
226		0.231127
227		0.233399
228		0.233958
229		0.232955
230		0.234001
231		0.231991
232		0.232438
233		0.23571
234		0.234877
235		0.235316
236		0.236134
237		0.233711
238		0.232708
239		0.231427
240		0.234344
241		0.229159
242		0.232226
243		0.232739
244		0.232137
245		0.231925
246		0.232681
247		0.232137
248		0.232959
249		0.232404
250		0.232033
251		0.232276
252		0.233063
253		0.233102
254		0.232523
255		0.231574
256		0.233372
257		0.235594
258		0.233395
259		0.23287
260		0.231883
261		0.230139
262		0.231713
263		0.229707
264		0.229244
265		0.231775
266		0.23017
267		0.229522
268		0.229429
269		0.231867
270		0.228306
271		0.228569
272		0.226431
273		0.226725
274		0.227917
275		0.23017
276		0.231447
277		0.234545
278		0.237805
279		0.237805
280		0.240988
281		0.245903
282		0.247049
283		0.247145
284		0.251292
285		0.249996
286		0.251292
287		0.248962
288		0.249552
289		0.249348
290		0.245814
291		0.244645
292		0.244996
293		0.243329
294		0.243129
295		0.238862
296		0.235424
297		0.234606
298		0.235694
299		0.235471
300		0.235363
301		0.234267
302		0.233032
303		0.233927
304		0.231644
305		0.232203
306		0.230957
307		0.232901
308		0.234946
309		0.23223
310		0.230795
311		0.230486
312		0.233465
313		0.230517
314		0.233164
315		0.231759
316		0.233148
317		0.22963
318		0.230278
319		0.2287
320		0.234263
321		0.233106
322		0.230995
323		0.23233
324		0.231524
325		0.234101
326		0.230768
327		0.233515
328		0.233607
329		0.232172
330		0.232079
331		0.230976
332		0.231624
333		0.233785
334		0.232087
335		0.231825
336		0.233881
337		0.236119
338		0.232122
339		0.232338
340		0.236119
341		0.235826
342		0.238634
343		0.23811
344		0.241782
345		0.231844
346		0.234221
347		0.238735
348		0.240494
349		0.238264
350		0.237106
351		0.2399
352		0.238881
353		0.236767
354		0.239236
355		0.236319
356		0.240683
357		0.241115
358		0.238924
359		0.240976
360		0.239198
361		0.24162
362		0.241574
363		0.244769
364		0.240679
365		0.241512
366		0.239907
367		0.242392
368		0.239661
369		0.239938
370		0.238904
371		0.238519
372		0.23909
373		0.240586
374		0.240887
375		0.240756
376		0.240841
377		0.241235
378		0.240733
379		0.240401
380		0.24115
381		0.240347
382		0.244483
383		0.24419
384		0.247623
385		0.249444
386		0.249568
387		0.250764
388		0.25311
389		0.254699
390		0.253877
391		0.253464
392		0.255918
393		0.254776
394		0.256736
395		0.2513
396		0.250698
397		0.253831
398		0.254267
399		0.256011
400		0.256331
401		0.255235
402		0.255934
403		0.260563
404		0.263059
405		0.266208
406		0.271655
407		0.278029
408		0.280995
409		0.288067
410		0.294985
411		0.299664
412		0.306007
413		0.311096
414		0.314028
415		0.317423
416		0.32338
417		0.326034
418		0.331744
419		0.335093
420		0.339132
421		0.346748
422		0.350671
423		0.350517
424		0.359248
425		0.368025
426		0.366883
427		0.3726
428		0.376983
429		0.383071
430		0.385598
431		0.390085
432		0.393492
433		0.401235
434		0.404182
435		0.405212
436		0.407654
437		0.412477
438		0.412041
439		0.416057
440		0.417616
441		0.414934
442		0.418372
443		0.421188
444		0.421316
445		0.416219
446		0.414757
447		0.419715
448		0.419745
449		0.423225
450		0.424198
451		0.428465
452		0.430895
453		0.431674
454		0.434684
455		0.436296
456		0.437238
457		0.440586
458		0.442454
459		0.442658
460		0.44463
461		0.44284
462		0.443696
463		0.446335
464		0.445563
465		0.447099
466		0.443711
467		0.444448
468		0.442531
469		0.448719
470		0.456458
471		0.456597
472		0.456987
473		0.457855
474		0.458403
475		0.458954
476		0.460069
477		0.457199
478		0.459059
479		0.460131
480		0.458534
481		0.462346
482		0.462014
483		0.461748
484		0.463021
485		0.462812
486		0.461933
487		0.462288
488		0.461863
489		0.461246
490		0.463669
491		0.462442
492		0.461084
493		0.461408
494		0.463009
495		0.463059
496		0.462843
497		0.46576
498		0.467431
499		0.470012
500		0.473846
501		0.474097
502		0.479062
503		0.484387
504		0.485127
505		0.489757
506		0.496574
507		0.49963
508		0.505714
509		0.509495
510		0.512365
511		0.513924
512		0.51848
513		0.520494
514		0.51956
515		0.520613
516		0.521331
517		0.521736
518		0.526748
519		0.525363
520		0.532581
521		0.532967
522		0.537388
523		0.539363
524		0.538912
525		0.540953
526		0.538426
527		0.540301
528		0.54392
529		0.54348
530		0.542963
531		0.542423
532		0.543619
533		0.54326
534		0.544888
535		0.542523
536		0.543083
537		0.539506
538		0.542373
539		0.54488
540		0.545887
541		0.542172
542		0.546073
543		0.54576
544		0.547157
545		0.519904
546		0.523337
547		0.52603
548		0.524757
549		0.525995
550		0.525301
551		0.523206
552		0.524961
553		0.528418
554		0.525683
555		0.52662
556		0.5238
557		0.526412
558		0.529479
559		0.521871
560		0.520208
561		0.524429
562		0.52809
563		0.522087
564		0.525093
565		0.523796
566		0.521312
567		0.523549
568		0.520285
569		0.524086
570		0.524514
571		0.527323
572		0.532712
573		0.531879
574		0.537481
575		0.536975
576		0.538765
577		0.540517
578		0.543252
579		0.546354
580		0.549788
581		0.550228
582		0.553167
583		0.552604
584		0.552307
585		0.55512
586		0.556848
587		0.559981
588		0.558067
589		0.560093
590		0.559506
591		0.562322
592		0.558654
593		0.558792
594		0.562666
595		0.55017
596		0.552122
597		0.553889
598		0.553704
599		0.559749
600		0.558603
601		0.559498
602		0.559826
603		0.562608
604		0.564958
605		0.565575
606		0.566871
607		0.568372
608		0.574109
609		0.572191
610		0.572396
611		0.579633
612		0.580058
613		0.582589
614		0.587701
615		0.590374
616		0.592296
617		0.594687
618		0.594402
619		0.600231
620		0.596717
621		0.597141
622		0.603588
623		0.605286
624		0.60674
625		0.608704
626		0.608507
627		0.609333
628		0.608935
629		0.609815
630		0.60924
631		0.612477
632		0.613592
633		0.615718
634		0.615953
635		0.61571
636		0.619931
637		0.616292
638		0.61387
639		0.611331
640		0.61294
641		0.61512
642		0.612755
643		0.613754
644		0.616605
645		0.627149
646		0.626377
647		0.628773
648		0.630139
649		0.631941
650		0.631119
651		0.630066
652		0.631717
653		0.629672
654		0.63402
655		0.63478
656		0.635806
657		0.635949
658		0.638121
659		0.637739
660		0.63733
661		0.637411
662		0.63914
663		0.639946
664		0.63777
665		0.641948
666		0.640421
667		0.64223
668		0.641397
669		0.644101
670		0.624722
671		0.626258
672		0.622284
673		0.628245
674		0.629039
675		0.628233
676		0.627793
677		0.629444
678		0.632909
679		0.627905
680		0.630112
681		0.632527
682		0.634387
683		0.636624
684		0.641092
685		0.636304
686		0.640656
687		0.637866
688		0.640285
689		0.641011
690		0.638515
691		0.640274
692		0.643411
693		0.643573
694		0.643272
695		0.62919
696		0.627751
697		0.631227
698		0.63216
699		0.63213
700		0.631536
701		0.633549
702		0.632662
703		0.634051
704		0.635166
705		0.635104
706		0.636987
707		0.637454
708		0.636597
709		0.637407
710		0.636902
711		0.636034
712		0.636848
713		0.637122
714		0.638773
715		0.639915
716		0.63814
717		0.641111
718		0.642083
719		0.641096
720		0.634537
721		0.635864
722		0.635934
723		0.64196
724		0.638866
725		0.641998
726		0.642384
727		0.643673
728		0.642099
729		0.642523
730		0.64331
731		0.641319
732		0.643665
733		0.644487
734		0.643858
735		0.646508
736		0.645258
737		0.643071
738		0.646485
739		0.645795
740		0.644653
741		0.643796
742		0.648573
743		0.647647
744		0.648194
745		0.622793
746		0.626644
747		0.627315
748		0.630772
749		0.628476
750		0.631466
751		0.616003
752		0.616906
753		0.619622
754		0.621782
755		0.619344
756		0.618187
757		0.623171
758		0.623785
759		0.625509
760		0.62483
761		0.624406
762		0.624491
763		0.624822
764		0.625216
765		0.625494
766		0.625748
767		0.627978
768		0.625802
769		0.626775
770		0.641034
771		0.637971
772		0.639691
773		0.638372
774		0.634931
775		0.642014
776		0.639267
777		0.646991
778		0.646227
779		0.645694
780		0.644792
781		0.644722
782		0.649684
783		0.652878
784		0.653318
785		0.651034
786		0.648642
787		0.650505
788		0.651848
789		0.650872
790		0.654961
791		0.660872
792		0.663256
793		0.667242
794		0.667404
795		0.629128
796		0.627878
797		0.63135
798		0.635949
799		0.63642
800		0.643835
801		0.648056
802		0.651281
803		0.646975
804		0.644174
805		0.650355
806		0.651042
807		0.651466
808		0.657481
809		0.655799
810		0.656563
811		0.655729
812		0.656238
813		0.65735
814		0.658144
815		0.659186
816		0.658908
817		0.662404
818		0.66032
819		0.665077
820		0.654182
821		0.654614
822		0.654961
823		0.655104
824		0.661663
825		0.657238
826		0.658194
827		0.662006
828		0.661512
829		0.661366
830		0.663495
831		0.664892
832		0.66483
833		0.665201
834		0.67108
835		0.668974
836		0.670363
837		0.670015
838		0.672207
839		0.672793
840		0.672222
841		0.674043
842		0.675224
843		0.675988
844		0.675926
845		0.671975
846		0.670162
847		0.67267
848		0.676489
849		0.670725
850		0.677307
851		0.675363
852		0.678935
853		0.67564
854		0.675664
855		0.67358
856		0.677685
857		0.675525
858		0.677971
859		0.680826
860		0.67794
861		0.679421
862		0.678758
863		0.679726
864		0.681184
865		0.681586
866		0.680845
867		0.684417
868		0.682141
869		0.684541
870		0.663503
871		0.663526
872		0.666157
873		0.667323
874		0.667832
875		0.668711
876		0.667994
877		0.66784
878		0.667346
879		0.667701
880		0.655818
881		0.653627
882		0.653025
883		0.652701
884		0.653295
885		0.654684
886		0.654807
887		0.655918
888		0.659552
889		0.658681
890		0.660015
891		0.661466
892		0.660934
893		0.661983
894		0.660648
895		0.660525
896		0.662724
897		0.66564
898		0.666308
899		0.665235
900		0.663758
901		0.664583
902		0.667809
903		0.669282
904		0.669244
905		0.679252
906		0.679082
907		0.680177
908		0.681289
909		0.681605
910		0.682647
911		0.681883
912		0.681026
913		0.681289
914		0.680455
915		0.682793
916		0.680548
917		0.678935
918		0.682732
919		0.678943
920		0.677245
921		0.678804
922		0.680552
923		0.681682
924		0.682191
925		0.680957
926		0.68311
927		0.682994
928		0.687431
929		0.686906
930		0.66115
931		0.663121
932		0.660664
933		0.666165
934		0.662971
935		0.665733
936		0.666836
937		0.669958
938		0.673013
939		0.672226
940		0.6762
941		0.67784
942		0.67784
943		0.68061
944		0.682029
945		0.681227
946		0.678754
947		0.68032
948		0.67978
949		0.6814
950		0.680621
951		0.678191
952		0.678252
953		0.675289
954		0.675667
955		0.672083
956		0.673449
957		0.673337
958		0.670725
