The video is over!
Time of video Queue Density, Dynamic Density
0.0666092, 0.0740934, 0
0.133218, 0.0778395, 0
0.199828, 0.0810725, 0
0.266437, 0.0912269, 0
0.333046, 0.093858, 0
0.399655, 0.094892, 0
0.466264, 0.098642, 0
0.532873, 0.103657, 0
0.599483, 0.102091, 0
0.666092, 0.102253, 0
0.732701, 0.105046, 0
0.79931, 0.105671, 0
0.865919, 0.107423, 0
0.932529, 0.107056, 0
0.999138, 0.109425, 0
1.06575, 0.111115, 0
1.13236, 0.112747, 0
1.19897, 0.112708, 0
1.26557, 0.113468, 0
1.33218, 0.116624, 0
1.39879, 0.115629, 0
1.4654, 0.118646, 0
1.53201, 0.121944, 0
1.59862, 0.123866, 0
1.66523, 0.126435, 0
1.73184, 0.128866, 0
1.79845, 0.130768, 0
1.86506, 0.131435, 0
1.93167, 0.133904, 0
1.99828, 0.134313, 0
2.06488, 0.135394, 0
2.13149, 0.13436, 0
2.1981, 0.137955, 0
2.26471, 0.136917, 0
2.33132, 0.136898, 0
2.39793, 0.138013, 0
2.46454, 0.138256, 0
2.53115, 0.142037, 0
2.59776, 0.141605, 0
2.66437, 0.140656, 0
2.73098, 0.140945, 0
2.79759, 0.14039, 0
2.86419, 0.140282, 0
2.9308, 0.142091, 0
2.99741, 0.141887, 0
3.06402, 0.142211, 0
3.13063, 0.13973, 0
3.19724, 0.138264, 0
3.26385, 0.143873, 0
3.33046, 0.144259, 0
3.39707, 0.145448, 0
3.46368, 0.148681, 0
3.53029, 0.151485, 0
3.5969, 0.150667, 0
3.6635, 0.156644, 0
3.73011, 0.159329, 0
3.79672, 0.158627, 0
3.86333, 0.16238, 0
3.92994, 0.165995, 0
3.99655, 0.166373, 0
4.06316, 0.166169, 0
4.12977, 0.164032, 0
4.19638, 0.165783, 0
4.26299, 0.163318, 0
4.3296, 0.162731, 0
4.39621, 0.162994, 0
4.46282, 0.161566, 0
4.52942, 0.162639, 0
4.59603, 0.161767, 0
4.66264, 0.163179, 0
4.72925, 0.165255, 0
4.79586, 0.165671, 0
4.86247, 0.166551, 0
4.92908, 0.169252, 0
4.99569, 0.16963, 0
5.0623, 0.17071, 0
5.12891, 0.166744, 0
5.19552, 0.172724, 0
5.26213, 0.174591, 0
5.32873, 0.176454, 0
5.39534, 0.177809, 0
5.46195, 0.178827, 0
5.52856, 0.186304, 0
