Time of video, Queue Density, Dynamic Density
0.0666092, 0.010233, 0
0.133218, 0.0100926, 0
0.199828, 0.0102654, 7.94753e-05
0.266437, 0.0103364, 0
0.333046, 0.0106019, 0
0.399655, 0.0107361, 0
0.466264, 0.0108056, 0
0.532873, 0.0108673, 0
0.599483, 0.010966, 0
0.666092, 0.0111389, 0
0.732701, 0.0215833, 0.00976389
0.79931, 0.0214475, 0.00908951
0.865919, 0.0218164, 0.0091767
0.932529, 0.0221204, 0.0089429
0.999138, 0.0226821, 0.00855556
1.06575, 0.0229691, 0.00899228
1.13236, 0.0235339, 0.00869444
1.19897, 0.023571, 0.00839506
1.26557, 0.0237515, 0.00851698
1.33218, 0.024162, 0.00816358
1.39879, 0.0346482, 0.0214645
1.4654, 0.0346188, 0.0203951
1.53201, 0.0351466, 0.0205039
1.59862, 0.0357577, 0.0203287
1.66523, 0.0361698, 0.0199799
1.73184, 0.0364985, 0.0203164
1.79845, 0.0372855, 0.0195108
1.86506, 0.0372361, 0.0192716
1.93167, 0.0375864, 0.0191806
1.99828, 0.0379784, 0.0187886
2.06488, 0.0485077, 0.0335694
2.13149, 0.0484645, 0.0323796
2.1981, 0.0490324, 0.0323156
2.26471, 0.0496312, 0.0320571
2.33132, 0.0501296, 0.0314429
2.39793, 0.0503148, 0.0315123
2.46454, 0.0512809, 0.0304614
2.53115, 0.0510586, 0.0303873
2.59776, 0.0511574, 0.0303426
2.66437, 0.0521003, 0.0304151
2.73098, 0.0628781, 0.0457346
2.79759, 0.0627469, 0.0445046
2.86419, 0.0636373, 0.0446566
2.9308, 0.0645139, 0.0448704
2.99741, 0.0651404, 0.0440926
3.06402, 0.0656235, 0.0442778
3.13063, 0.0668657, 0.0432623
3.19724, 0.0667917, 0.0432809
3.26385, 0.0672639, 0.0437284
3.33046, 0.0683611, 0.0440201
3.39707, 0.0791775, 0.0600586
3.46368, 0.0792546, 0.0587701
3.53029, 0.0799198, 0.0589159
3.5969, 0.0807762, 0.0588426
3.6635, 0.0812531, 0.0576543
3.73011, 0.0819907, 0.0578179
3.79672, 0.0829414, 0.0562917
3.86333, 0.0828302, 0.0562593
3.92994, 0.0835154, 0.0567948
3.99655, 0.0846265, 0.0572593
4.06316, 0.0955124, 0.0738256
4.12977, 0.0954923, 0.0724707
4.19638, 0.0963009, 0.0726134
4.26299, 0.097142, 0.07275
4.3296, 0.0979877, 0.0715957
4.39621, 0.098767, 0.0719414
4.46282, 0.0999105, 0.0702701
4.52942, 0.0995139, 0.0698179
4.59603, 0.100472, 0.0705447
4.66264, 0.101975, 0.0713302
4.72925, 0.113106, 0.0888781
4.79586, 0.112957, 0.087358
4.86247, 0.113961, 0.0876767
4.92908, 0.115451, 0.0882191
4.99569, 0.116471, 0.0875077
5.0623, 0.117715, 0.087983
5.12891, 0.119329, 0.086162
5.19552, 0.119134, 0.0861343
5.26213, 0.120657, 0.0874398
5.32873, 0.123048, 0.0888982
5.39534, 0.134097, 0.107327
5.46195, 0.134742, 0.106554
5.52856, 0.135824, 0.106873
5.59517, 0.137318, 0.107347
5.66178, 0.138463, 0.106651
5.72839, 0.139094, 0.106105
5.795, 0.14087, 0.104153
5.86161, 0.141366, 0.104645
5.92822, 0.142652, 0.10598
5.99483, 0.144974, 0.107438
6.06144, 0.155912, 0.124924
6.12804, 0.156182, 0.124015
6.19465, 0.157315, 0.12463
6.26126, 0.158724, 0.125605
6.32787, 0.159734, 0.124684
6.39448, 0.160127, 0.124242
6.46109, 0.161744, 0.122343
6.5277, 0.162505, 0.122767
6.59431, 0.164147, 0.124252
6.66092, 0.166639, 0.125599
6.72753, 0.167795, 0.143358
6.79414, 0.168289, 0.142473
6.86075, 0.169553, 0.14297
6.92735, 0.171372, 0.144061
6.99396, 0.171987, 0.143022
7.06057, 0.172907, 0.142711
7.12718, 0.174702, 0.140748
7.19379, 0.175466, 0.140813
7.2604, 0.177201, 0.141812
