The video is over!
Time of video, Queue Density, Dynamic Density
0.0666092, 0.00745525, 0
0.133218, 0.0152793, 0.00237731
0.199828, 0.0236589, 0.00595486
0.266437, 0.0324136, 0.0105494
0.333046, 0.0415162, 0.0163364
0.399655, 0.0507052, 0.0227608
0.466264, 0.0606906, 0.0303248
0.532873, 0.0709769, 0.0387558
0.599483, 0.0810972, 0.0474448
0.666092, 0.0913302, 0.0557843
0.732701, 0.0941759, 0.0643113
0.79931, 0.0968256, 0.0705413
0.865919, 0.0989907, 0.0758144
0.932529, 0.100838, 0.0800679
0.999138, 0.102623, 0.0830752
1.06575, 0.104448, 0.0851389
1.13236, 0.105538, 0.0864776
1.19897, 0.106426, 0.0865467
1.26557, 0.107653, 0.0857928
1.33218, 0.108979, 0.0861138
1.39879, 0.110241, 0.0859232
1.4654, 0.111527, 0.0854981
1.53201, 0.112974, 0.0848187
1.59862, 0.114453, 0.0835911
1.66523, 0.116006, 0.0822473
1.73184, 0.117721, 0.0816034
1.79845, 0.119557, 0.0800895
1.86506, 0.121377, 0.0787361
1.93167, 0.123261, 0.0782222
1.99828, 0.124975, 0.0767469
2.06488, 0.126792, 0.0756404
2.13149, 0.128462, 0.0750972
2.1981, 0.130107, 0.0744645
2.26471, 0.131723, 0.0744876
2.33132, 0.133019, 0.0749151
2.39793, 0.133834, 0.0747377
2.46454, 0.134587, 0.0749599
2.53115, 0.135636, 0.0755432
2.59776, 0.136429, 0.0754877
2.66437, 0.137224, 0.0754645
2.73098, 0.137899, 0.0755448
2.79759, 0.138563, 0.0750062
2.86419, 0.139008, 0.0746435
2.9308, 0.13948, 0.0741235
2.99741, 0.139767, 0.073233
3.06402, 0.140427, 0.0727145
3.13063, 0.140793, 0.0723441
3.19724, 0.140529, 0.0711636
3.26385, 0.140835, 0.0704444
3.33046, 0.141137, 0.0701188
3.39707, 0.141574, 0.0693395
3.46368, 0.142293, 0.0689599
3.53029, 0.143302, 0.0685
3.5969, 0.144353, 0.0677994
3.6635, 0.145846, 0.067375
3.73011, 0.147435, 0.0670154
3.79672, 0.149346, 0.0664228
3.86333, 0.151881, 0.0667793
3.92994, 0.15402, 0.0672053
3.99655, 0.155949, 0.0669707
4.06316, 0.157966, 0.0671991
4.12977, 0.159553, 0.0673164
4.19638, 0.160842, 0.0673071
4.26299, 0.161944, 0.0674275
4.3296, 0.162586, 0.0675463
4.39621, 0.163076, 0.0675633
4.46282, 0.163382, 0.0675062
4.52942, 0.163319, 0.0671512
4.59603, 0.163115, 0.0660926
4.66264, 0.162942, 0.0655663
4.72925, 0.16288, 0.0650957
4.79586, 0.16307, 0.064162
4.86247, 0.163264, 0.0631019
4.92908, 0.163886, 0.062287
4.99569, 0.164503, 0.0610679
5.0623, 0.165188, 0.0595556
5.12891, 0.165833, 0.058463
5.19552, 0.166539, 0.056429
5.26213, 0.167622, 0.0546358
5.32873, 0.16909, 0.0532593
5.39534, 0.170316, 0.0518549
5.46195, 0.171596, 0.050858
5.52856, 0.17333, 0.0509336
5.59517, 0.17487, 0.050963
5.66178, 0.17725, 0.0520972
5.72839, 0.179907, 0.0541975
5.795, 0.182844, 0.0561096
5.86161, 0.186008, 0.0597747
5.92822, 0.189523, 0.0643025
5.99483, 0.193128, 0.0686142
6.06144, 0.197032, 0.0733164
6.12804, 0.201026, 0.0782731
6.19465, 0.204793, 0.0824614
6.26126, 0.208302, 0.0867176
6.32787, 0.210526, 0.0918642
6.39448, 0.212441, 0.0962546
6.46109, 0.214636, 0.100736
6.5277, 0.216511, 0.104471
6.59431, 0.217475, 0.107097
6.66092, 0.218091, 0.109356
6.72753, 0.217954, 0.110787
6.79414, 0.217485, 0.111136
6.86075, 0.216815, 0.110259
6.92735, 0.21591, 0.109227
6.99396, 0.215563, 0.106
7.06057, 0.214895, 0.102803
7.12718, 0.214219, 0.0996948
7.19379, 0.213536, 0.0964001
7.2604, 0.213397, 0.0940729
7.32701, 0.213698, 0.092468
7.39362, 0.214665, 0.0908615
7.46023, 0.215758, 0.0899186
7.52684, 0.217128, 0.0906563
7.59345, 0.219103, 0.0913156
7.66006, 0.221588, 0.0926875
7.72666, 0.224536, 0.0945779
7.79327, 0.227017, 0.0959005
7.85988, 0.229726, 0.0975413
7.92649, 0.232419, 0.0993704
7.9931, 0.234499, 0.101372
8.05971, 0.236658, 0.103833
8.12632, 0.238416, 0.106747
8.19293, 0.239932, 0.109046
8.25954, 0.241585, 0.111459
8.32615, 0.242721, 0.114278
8.39276, 0.24385, 0.115681
8.45937, 0.244676, 0.117473
8.52598, 0.24554, 0.119247
8.59258, 0.246141, 0.119875
8.65919, 0.247092, 0.119461
8.7258, 0.247908, 0.119602
8.79241, 0.249076, 0.119159
8.85902, 0.250397, 0.118759
8.92563, 0.251333, 0.118726
8.99224, 0.25234, 0.117683
9.05885, 0.253313, 0.117015
9.12546, 0.254649, 0.1163
9.19207, 0.255979, 0.115223
9.25868, 0.257195, 0.114186
9.32529, 0.258437, 0.113897
9.39189, 0.259469, 0.112297
9.4585, 0.260008, 0.110948
9.52511, 0.260397, 0.10974
9.59172, 0.260994, 0.10749
9.65833, 0.26068, 0.106137
9.72494, 0.260158, 0.105686
9.79155, 0.259961, 0.104611
9.85816, 0.259268, 0.103352
9.92477, 0.258299, 0.102631
9.99138, 0.257279, 0.100846
10.058, 0.256203, 0.0993584
10.1246, 0.255567, 0.0979977
10.1912, 0.255096, 0.0949356
10.2578, 0.254276, 0.0923102
10.3244, 0.254384, 0.0897373
10.391, 0.254353, 0.0860891
10.4576, 0.253632, 0.0828526
10.5243, 0.252885, 0.0799144
10.5909, 0.252325, 0.0765521
10.6575, 0.251536, 0.073515
10.7241, 0.250769, 0.0706524
10.7907, 0.250039, 0.0671798
10.8573, 0.249153, 0.065461
10.9239, 0.248304, 0.0638252
10.9905, 0.247339, 0.0613453
11.0571, 0.246337, 0.0593437
11.1237, 0.245621, 0.0579055
11.1903, 0.245299, 0.0565274
11.257, 0.244922, 0.0553002
11.3236, 0.244672, 0.0566273
11.3902, 0.244529, 0.0574961
11.4568, 0.243885, 0.058728
11.5234, 0.243343, 0.0598715
11.59, 0.242792, 0.0608441
11.6566, 0.242284, 0.0617469
11.7232, 0.241687, 0.0626204
11.7898, 0.241009, 0.0629587
11.8564, 0.240315, 0.0617674
11.923, 0.239681, 0.0608661
11.9897, 0.238916, 0.0574298
12.0563, 0.2382, 0.0547693
12.1229, 0.237785, 0.0522739
12.1895, 0.237544, 0.0494171
12.2561, 0.236963, 0.046642
12.3227, 0.236422, 0.0444279
12.3893, 0.236237, 0.0424448
12.4559, 0.235907, 0.0403673
12.5225, 0.235593, 0.0398654
12.5891, 0.235301, 0.0390907
12.6557, 0.235369, 0.0381381
12.7224, 0.235072, 0.0369838
12.789, 0.23495, 0.0354973
12.8556, 0.234503, 0.0340451
12.9222, 0.234511, 0.0329236
12.9888, 0.23525, 0.0327704
13.0554, 0.235889, 0.0324699
13.122, 0.236718, 0.0324483
13.1886, 0.237539, 0.0322573
13.2552, 0.238323, 0.0322033
13.3218, 0.239028, 0.032961
13.3884, 0.239925, 0.0331983
13.4551, 0.240565, 0.0336906
13.5217, 0.24139, 0.0329853
13.5883, 0.241985, 0.0317288
13.6549, 0.242028, 0.0291532
13.7215, 0.241849, 0.0268148
13.7881, 0.241656, 0.0246451
13.8547, 0.241315, 0.0223719
13.9213, 0.241076, 0.0201127
13.9879, 0.240685, 0.0174475
14.0545, 0.240304, 0.0152839
14.1211, 0.240245, 0.0132284
14.1878, 0.239779, 0.0125694
14.2544, 0.239577, 0.0126019
14.321, 0.239216, 0.0125093
14.3876, 0.239026, 0.0122701
14.4542, 0.2389, 0.0117299
14.5208, 0.238877, 0.0117346
14.5874, 0.239047, 0.0116667
14.654, 0.238079, 0.0130015
14.7206, 0.237098, 0.0141883
14.7872, 0.236322, 0.0151165
14.8538, 0.235816, 0.0159668
14.9205, 0.235135, 0.0165934
14.9871, 0.234419, 0.0173202
15.0537, 0.233962, 0.0181597
15.1203, 0.233731, 0.0191073
15.1869, 0.233325, 0.0189545
15.2535, 0.232432, 0.0189159
15.3201, 0.232958, 0.0175208
15.3867, 0.233503, 0.0158403
15.4533, 0.233846, 0.0147083
15.5199, 0.23425, 0.0139244
15.5865, 0.234684, 0.0132207
15.6532, 0.234966, 0.0125509
15.7198, 0.235073, 0.0118642
15.7864, 0.234915, 0.0112068
15.853, 0.234793, 0.0115309
15.9196, 0.235056, 0.0116744
15.9862, 0.234812, 0.011625
16.0528, 0.234347, 0.0122114
16.1194, 0.234139, 0.0126281
16.186, 0.233863, 0.0128086
16.2526, 0.233596, 0.0128642
16.3192, 0.233461, 0.0138472
16.3859, 0.233444, 0.0149923
16.4525, 0.233289, 0.0157701
16.5191, 0.23312, 0.0161759
16.5857, 0.233026, 0.0166065
16.6523, 0.233293, 0.017304
16.7189, 0.233731, 0.0176096
16.7855, 0.233931, 0.0177639
16.8521, 0.233955, 0.016946
16.9187, 0.233963, 0.0159537
16.9853, 0.234134, 0.0142809
17.052, 0.234071, 0.0123102
17.1186, 0.234426, 0.0107932
17.1852, 0.234452, 0.00923457
17.2518, 0.234481, 0.00806327
17.3184, 0.234037, 0.00654938
17.385, 0.23389, 0.00537809
17.4516, 0.233619, 0.00406481
17.5182, 0.23327, 0.0038179
17.5848, 0.232952, 0.00385648
17.6514, 0.232767, 0.00350154
17.718, 0.232665, 0.00315895
17.7847, 0.232102, 0.00275386
17.8513, 0.23201, 0.00291127
17.9179, 0.231701, 0.0028588
17.9845, 0.231539, 0.00380324
18.0511, 0.230961, 0.00474151
18.1177, 0.230635, 0.00563657
18.1843, 0.230539, 0.00653935
18.2509, 0.230414, 0.0073696
18.3175, 0.230262, 0.00855633
18.3841, 0.230396, 0.0100239
18.4507, 0.231059, 0.0116667
18.5174, 0.231807, 0.0127145
18.584, 0.232826, 0.0141389
18.6506, 0.234319, 0.0148519
18.7172, 0.236275, 0.0156003
18.7838, 0.238144, 0.0166512
18.8504, 0.240201, 0.0175849
18.917, 0.242539, 0.0191481
18.9836, 0.244522, 0.0205957
19.0502, 0.246299, 0.0219275
19.1168, 0.247744, 0.0232006
19.1834, 0.248926, 0.0245
19.2501, 0.249872, 0.0254753
19.3167, 0.250145, 0.0266682
19.3833, 0.250228, 0.0276343
19.4499, 0.25023, 0.0283472
19.5165, 0.249847, 0.0294491
19.5831, 0.249031, 0.0295779
19.6497, 0.2479, 0.0307894
19.7163, 0.246295, 0.0320162
19.7829, 0.244633, 0.0328356
19.8495, 0.243235, 0.0339375
19.9161, 0.242052, 0.0347369
19.9828, 0.24111, 0.0350687
20.0494, 0.240077, 0.0353588
20.116, 0.2389, 0.0355887
20.1826, 0.237758, 0.0345934
20.2492, 0.236611, 0.0338503
20.3158, 0.235968, 0.0319985
20.3824, 0.235556, 0.0299275
20.449, 0.235202, 0.0280602
20.5156, 0.234739, 0.0263472
20.5822, 0.234011, 0.024554
20.6488, 0.233461, 0.0230324
20.7155, 0.23289, 0.0214923
20.7821, 0.23252, 0.0199522
20.8487, 0.232287, 0.0194151
20.9153, 0.232466, 0.0190756
20.9819, 0.232448, 0.0188642
21.0485, 0.232463, 0.0188441
21.1151, 0.232358, 0.0187623
21.1817, 0.232099, 0.0181944
21.2483, 0.231978, 0.0181173
21.3149, 0.232375, 0.0196451
21.3815, 0.23267, 0.0212639
21.4482, 0.232875, 0.0225725
21.5148, 0.233188, 0.0241157
21.5814, 0.233238, 0.0249676
21.648, 0.233471, 0.0256759
21.7146, 0.233659, 0.026125
21.7812, 0.234056, 0.0269089
21.8478, 0.234606, 0.026696
21.9144, 0.234954, 0.0261605
21.981, 0.234713, 0.0236312
22.0476, 0.234683, 0.0210648
22.1142, 0.234716, 0.0191844
22.1809, 0.234651, 0.0166705
22.2475, 0.234706, 0.0149892
22.3141, 0.234693, 0.0131404
22.3807, 0.234803, 0.0114637
22.4473, 0.234746, 0.00951312
22.5139, 0.234813, 0.00893441
22.5805, 0.235041, 0.00848997
22.6471, 0.235441, 0.00825077
22.7137, 0.235932, 0.00844252
22.7803, 0.236314, 0.00876428
22.8469, 0.236951, 0.00958372
22.9136, 0.237611, 0.0102276
22.9802, 0.237412, 0.0122832
23.0468, 0.237659, 0.0142855
23.1134, 0.238467, 0.0166065
23.18, 0.239109, 0.0186713
23.2466, 0.239717, 0.0211651
23.3132, 0.240033, 0.0238164
23.3798, 0.240235, 0.0260737
23.4464, 0.240385, 0.0282604
23.513, 0.24026, 0.0291539
23.5796, 0.240114, 0.0298194
23.6463, 0.240769, 0.0293688
23.7129, 0.241198, 0.0288812
23.7795, 0.241005, 0.0281852
23.8461, 0.24083, 0.0275108
23.9127, 0.240764, 0.026534
23.9793, 0.240759, 0.0254722
24.0459, 0.240721, 0.0242392
24.1125, 0.240981, 0.0228102
24.1791, 0.241151, 0.0223843
24.2457, 0.241446, 0.0219228
24.3124, 0.241901, 0.0215386
24.379, 0.241913, 0.0210625
24.4456, 0.24213, 0.0206227
24.5122, 0.242204, 0.0202647
24.5788, 0.24221, 0.0197323
24.6454, 0.242377, 0.0203356
24.712, 0.24247, 0.0209082
24.7786, 0.242217, 0.0213819
24.8452, 0.242408, 0.0219529
24.9118, 0.242266, 0.0227299
24.9784, 0.242234, 0.0234336
25.0451, 0.242167, 0.024147
25.1117, 0.242274, 0.0249186
25.1783, 0.242573, 0.0249741
25.2449, 0.242815, 0.0248677
25.3115, 0.242824, 0.0238877
25.3781, 0.242793, 0.0231393
25.4447, 0.243473, 0.0224248
25.5113, 0.24383, 0.0221439
25.5779, 0.24429, 0.021799
25.6445, 0.24495, 0.0214961
25.7111, 0.245937, 0.0214039
25.7778, 0.246986, 0.0215274
25.8444, 0.248013, 0.0227218
25.911, 0.249185, 0.0241956
25.9776, 0.250504, 0.0255552
26.0442, 0.251825, 0.0271817
26.1108, 0.252662, 0.0289518
26.1774, 0.25373, 0.0306416
26.244, 0.254855, 0.0326138
26.3106, 0.255301, 0.0353843
26.3772, 0.255616, 0.0383225
26.4438, 0.255964, 0.040912
26.5105, 0.256324, 0.0432747
26.5771, 0.25654, 0.0456343
26.6437, 0.256571, 0.0477377
26.7103, 0.256795, 0.0496929
26.7769, 0.257156, 0.051338
26.8435, 0.257361, 0.0517284
26.9101, 0.258247, 0.0524182
26.9767, 0.259681, 0.0524275
27.0433, 0.261514, 0.0525787
27.1099, 0.263728, 0.0533426
27.1765, 0.266115, 0.0542994
27.2432, 0.269336, 0.0554718
27.3098, 0.273424, 0.0574128
27.3764, 0.277777, 0.0594263
27.443, 0.282632, 0.0620698
27.5096, 0.287893, 0.066076
27.5762, 0.292987, 0.0696084
27.6428, 0.297953, 0.0730806
27.7094, 0.303387, 0.0767041
27.776, 0.308184, 0.0798384
27.8426, 0.313563, 0.0837519
27.9092, 0.318472, 0.0877732
27.9759, 0.32264, 0.0937843
28.0425, 0.327398, 0.100047
28.1091, 0.33184, 0.1059
28.1757, 0.335966, 0.111325
