The video is over!
The video is over!
The video is over!
Time of video, Queue Density, Dynamic Density
0.0666092, 0.0081713, 0
0.133218, 0.00875463, 0
0.199828, 0.00910262, 0
0.266437, 0.0173603, 0.00476389
0.333046, 0.01874, 0.00480556
0.399655, 0.0191806, 0.00508488
0.466264, 0.0272724, 0.012439
0.532873, 0.0287647, 0.0125822
0.599483, 0.0292731, 0.0128974
0.666092, 0.0375378, 0.0208711
0.732701, 0.0391011, 0.0212716
0.79931, 0.039875, 0.0218148
0.865919, 0.0482739, 0.0301381
0.932529, 0.0499066, 0.0307581
0.999138, 0.0507423, 0.031287
1.06575, 0.05924, 0.0397971
1.13236, 0.0612539, 0.0405563
1.19897, 0.0623009, 0.0414865
1.26557, 0.0705949, 0.0497886
1.33218, 0.0730131, 0.0508221
1.39879, 0.0740849, 0.0519842
1.4654, 0.0828835, 0.0603283
1.53201, 0.0852461, 0.0618179
1.59862, 0.0866049, 0.0631701
1.66523, 0.0955872, 0.0715548
1.73184, 0.0980316, 0.0734433
1.79845, 0.0996281, 0.0747789
1.86506, 0.108652, 0.0832955
1.93167, 0.111203, 0.0853769
1.99828, 0.112958, 0.0868013
2.06488, 0.114118, 0.0955023
2.13149, 0.115936, 0.0974263
2.1981, 0.117593, 0.0985606
2.26471, 0.118472, 0.1022
2.33132, 0.119824, 0.104125
2.39793, 0.121559, 0.105172
2.46454, 0.122414, 0.106157
2.53115, 0.123867, 0.107531
2.59776, 0.125312, 0.108131
2.66437, 0.126034, 0.108602
2.73098, 0.127613, 0.109997
2.79759, 0.128707, 0.110454
2.86419, 0.129323, 0.110666
2.9308, 0.130802, 0.11212
2.99741, 0.131871, 0.112791
3.06402, 0.131928, 0.112125
3.13063, 0.133785, 0.113824
3.19724, 0.134512, 0.114474
3.26385, 0.134855, 0.114069
3.33046, 0.136631, 0.115546
3.39707, 0.137819, 0.116325
3.46368, 0.137786, 0.115944
3.53029, 0.139707, 0.116673
3.5969, 0.141092, 0.117177
3.6635, 0.140815, 0.116886
3.73011, 0.143028, 0.117054
3.79672, 0.144538, 0.117682
3.86333, 0.144258, 0.116877
3.92994, 0.146364, 0.116644
3.99655, 0.14749, 0.117106
4.06316, 0.146883, 0.115652
4.12977, 0.148989, 0.114863
4.19638, 0.149911, 0.115122
4.26299, 0.149416, 0.11376
4.3296, 0.151154, 0.112704
4.39621, 0.15212, 0.112594
4.46282, 0.151619, 0.111024
4.52942, 0.153213, 0.110207
4.59603, 0.154512, 0.110419
4.66264, 0.154114, 0.108766
4.72925, 0.155497, 0.107675
4.79586, 0.157249, 0.107802
4.86247, 0.156866, 0.105999
4.92908, 0.158471, 0.105123
4.99569, 0.16011, 0.104816
5.0623, 0.160453, 0.103951
5.12891, 0.161281, 0.102953
5.19552, 0.163505, 0.102135
5.26213, 0.163658, 0.101173
5.32873, 0.164545, 0.1004
5.39534, 0.166745, 0.0994927
5.46195, 0.16713, 0.0986408
5.52856, 0.168184, 0.0984498
5.59517, 0.170393, 0.0978773
5.66178, 0.171017, 0.0970096
5.72839, 0.172198, 0.0971057
5.795, 0.174996, 0.0967214
5.86161, 0.175709, 0.0962967
5.92822, 0.177267, 0.0966829
5.99483, 0.180576, 0.0962847
6.06144, 0.181387, 0.0960826
6.12804, 0.182991, 0.0970224
6.19465, 0.185797, 0.0980687
6.26126, 0.186906, 0.0980671
6.32787, 0.188976, 0.099385
6.39448, 0.191541, 0.100606
6.46109, 0.192677, 0.100456
6.5277, 0.194872, 0.102198
6.59431, 0.196743, 0.103521
6.66092, 0.197898, 0.103187
6.72753, 0.199704, 0.104776
6.79414, 0.201096, 0.106135
6.86075, 0.202154, 0.105778
6.92735, 0.203608, 0.107051
6.99396, 0.205343, 0.108883
7.06057, 0.206308, 0.108547
7.12718, 0.207949, 0.110269
7.19379, 0.209888, 0.112529
7.2604, 0.21102, 0.112264
7.32701, 0.212775, 0.11454
7.39362, 0.214541, 0.11708
7.46023, 0.215183, 0.116684
7.52684, 0.217345, 0.119494
7.59345, 0.218887, 0.12188
7.66006, 0.219405, 0.121
7.72666, 0.221267, 0.1235
7.79327, 0.222197, 0.125534
7.85988, 0.222611, 0.125412
7.92649, 0.224199, 0.128569
7.9931, 0.224521, 0.130315
8.05971, 0.224962, 0.130699
8.12632, 0.227044, 0.133902
8.19293, 0.227794, 0.134662
8.25954, 0.22811, 0.134685
8.32615, 0.229826, 0.138004
8.39276, 0.230834, 0.139
8.45937, 0.231415, 0.138952
8.52598, 0.233158, 0.142205
8.59258, 0.234928, 0.143009
8.65919, 0.235225, 0.143664
8.7258, 0.237573, 0.147157
8.79241, 0.239285, 0.148069
8.85902, 0.239852, 0.148833
8.92563, 0.242624, 0.152588
8.99224, 0.244345, 0.153591
9.05885, 0.244546, 0.154125
9.12546, 0.247133, 0.157708
9.19207, 0.248595, 0.158765
9.25868, 0.248762, 0.15935
9.32529, 0.25039, 0.161819
9.39189, 0.251612, 0.162202
9.4585, 0.2521, 0.162475
9.52511, 0.25216, 0.163967
9.59172, 0.253228, 0.164173
9.65833, 0.253843, 0.164773
9.72494, 0.253847, 0.166486
9.79155, 0.254284, 0.16644
9.85816, 0.254807, 0.165866
9.92477, 0.254885, 0.166648
9.99138, 0.255355, 0.166772
10.058, 0.255988, 0.16598
10.1246, 0.255843, 0.166589
10.1912, 0.256154, 0.166394
