The video is over!
The video is over!
The video is over!
The video is over!
Time of video, Queue Density, Dynamic Density
0.0666092, 0.00896296, 0.000208333
0.133218, 0.00910262, 0
0.199828, 0.00918904, 0.000208333
0.266437, 0.00995486, 0
0.333046, 0.0192492, 0.0065054
0.399655, 0.0190147, 0.00581597
0.466264, 0.0192137, 0.00650849
0.532873, 0.0200475, 0.00659375
0.599483, 0.0295147, 0.014961
0.666092, 0.0294306, 0.0145378
0.732701, 0.0298156, 0.0153565
0.79931, 0.0309919, 0.0154448
0.865919, 0.0403202, 0.0242392
0.932529, 0.0405062, 0.0240517
0.999138, 0.0407816, 0.0248634
1.06575, 0.0421308, 0.0250274
1.13236, 0.0518789, 0.034451
1.19897, 0.0520694, 0.0343488
1.26557, 0.0523326, 0.0350347
1.33218, 0.0541231, 0.0359302
1.39879, 0.0641674, 0.0453634
1.4654, 0.0643025, 0.0451998
1.53201, 0.0650598, 0.0461659
1.59862, 0.0670351, 0.0476709
1.66523, 0.0771613, 0.0569888
1.73184, 0.0775339, 0.057017
1.79845, 0.0781246, 0.058115
1.86506, 0.0804147, 0.0596045
1.93167, 0.0904915, 0.0691775
1.99828, 0.090963, 0.0691597
2.06488, 0.0916123, 0.0703897
2.13149, 0.0939441, 0.0717681
2.1981, 0.104035, 0.0815035
2.26471, 0.104628, 0.0813503
2.33132, 0.105447, 0.0826134
2.39793, 0.10776, 0.0840814
2.46454, 0.118103, 0.0938515
2.53115, 0.118474, 0.0939352
2.59776, 0.119541, 0.0949576
2.66437, 0.121634, 0.0958684
2.73098, 0.1231, 0.105396
2.79759, 0.123188, 0.105279
2.86419, 0.124556, 0.106251
2.9308, 0.125502, 0.107086
2.99741, 0.126384, 0.110153
3.06402, 0.127606, 0.110846
3.13063, 0.128902, 0.111722
3.19724, 0.129691, 0.112293
3.26385, 0.130724, 0.114103
3.33046, 0.132073, 0.115029
3.39707, 0.133519, 0.115814
3.46368, 0.134056, 0.116752
3.53029, 0.135711, 0.118541
3.5969, 0.136938, 0.119217
3.6635, 0.138659, 0.1201
3.73011, 0.139177, 0.121056
3.79672, 0.140452, 0.122201
3.86333, 0.141918, 0.122705
3.92994, 0.143599, 0.123935
