The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
Time of video, Queue Density, Dynamic Density
0.0666092, 0.00910262, 0
0.133218, 0.00939738, 0
0.199828, 0.00998534, 0.000208333
0.266437, 0.0100779, 0
0.333046, 0.00991204, 0
0.399655, 0.0191273, 0.00692207
0.466264, 0.01949, 0.00712384
0.532873, 0.0202508, 0.00704244
0.599483, 0.0204144, 0.0068966
0.666092, 0.0205139, 0.00737269
0.732701, 0.0298634, 0.0159402
0.79931, 0.0302955, 0.0163179
0.865919, 0.0311181, 0.0164645
0.932529, 0.0313804, 0.0162041
0.999138, 0.0316528, 0.0166628
1.06575, 0.0412137, 0.0259348
1.13236, 0.0416505, 0.0263565
1.19897, 0.042669, 0.026912
1.26557, 0.0431644, 0.0267805
1.33218, 0.043733, 0.0273912
1.39879, 0.0534468, 0.0367859
1.4654, 0.0541705, 0.0374877
1.53201, 0.0553727, 0.0384444
1.59862, 0.0559498, 0.0384417
1.66523, 0.0567562, 0.0390764
1.73184, 0.0665116, 0.0484888
1.79845, 0.0673418, 0.0492392
1.86506, 0.0687029, 0.0505185
1.93167, 0.0693789, 0.050515
1.99828, 0.0702438, 0.0512076
2.06488, 0.0802492, 0.0605096
2.13149, 0.080885, 0.0613225
2.1981, 0.0823681, 0.0628148
2.26471, 0.0834221, 0.0630729
2.33132, 0.0842685, 0.0637523
2.39793, 0.0943171, 0.0728623
2.46454, 0.0947307, 0.0736219
2.53115, 0.0962539, 0.075233
2.59776, 0.0972955, 0.0756971
2.66437, 0.0984367, 0.0761119
2.73098, 0.108133, 0.0853059
2.79759, 0.108726, 0.0862886
2.86419, 0.110076, 0.0878133
2.9308, 0.111075, 0.0881725
2.99741, 0.112559, 0.0886559
3.06402, 0.122296, 0.0974711
3.13063, 0.123008, 0.0984136
3.19724, 0.12489, 0.100154
3.26385, 0.125958, 0.101194
3.33046, 0.127569, 0.101312
3.39707, 0.128502, 0.110237
3.46368, 0.129196, 0.111423
3.53029, 0.130637, 0.113048
3.5969, 0.131992, 0.11458
3.6635, 0.133918, 0.114917
3.73011, 0.134985, 0.117384
3.79672, 0.135611, 0.11823
3.86333, 0.136654, 0.120359
3.92994, 0.137918, 0.121997
3.99655, 0.139429, 0.121532
4.06316, 0.140407, 0.122278
4.12977, 0.14109, 0.123188
4.19638, 0.141826, 0.124668
4.26299, 0.142995, 0.126066
4.3296, 0.144347, 0.125581
4.39621, 0.145392, 0.125689
4.46282, 0.145972, 0.12613
4.52942, 0.146656, 0.127136
4.59603, 0.147577, 0.128285
4.66264, 0.149002, 0.127371
4.72925, 0.149935, 0.126881
4.79586, 0.150213, 0.127102
4.86247, 0.150636, 0.127454
4.92908, 0.151748, 0.128255
4.99569, 0.153119, 0.1273
5.0623, 0.154464, 0.126525
5.12891, 0.154506, 0.126179
5.19552, 0.154966, 0.126307
5.26213, 0.156628, 0.127218
5.32873, 0.158114, 0.12603
5.39534, 0.159883, 0.125679
