The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
Time of video, Queue Density, Dynamic Density
0.0666092, 0.00939738, 0.000208333
0.133218, 0.00984877, 0
0.199828, 0.0102863, 0
0.266437, 0.0101204, 0
0.333046, 0.0100247, 0
0.399655, 0.0100926, 0
0.466264, 0.0196628, 0.00785262
0.532873, 0.0201852, 0.00784877
0.599483, 0.0208881, 0.00776235
0.666092, 0.0208565, 0.00772801
0.732701, 0.0208302, 0.00760494
0.79931, 0.0209599, 0.00714815
0.865919, 0.0308372, 0.0175679
0.932529, 0.0315324, 0.0174313
0.999138, 0.0322384, 0.0180239
1.06575, 0.0322114, 0.0178962
1.13236, 0.0325895, 0.0178642
1.19897, 0.0327438, 0.0170725
1.26557, 0.0429174, 0.0281096
1.33218, 0.0437654, 0.0284684
1.39879, 0.0447585, 0.0293426
1.4654, 0.0449151, 0.0294919
1.53201, 0.045375, 0.0293781
1.59862, 0.045767, 0.0282423
1.66523, 0.0561906, 0.0400586
1.73184, 0.0569367, 0.040402
1.79845, 0.0580887, 0.0415733
1.86506, 0.0585525, 0.0416987
1.93167, 0.0588627, 0.0414275
1.99828, 0.0592963, 0.0397932
2.06488, 0.0697338, 0.052142
2.13149, 0.0706019, 0.0526983
2.1981, 0.0721319, 0.0541312
2.26471, 0.0723688, 0.0540351
2.33132, 0.0727222, 0.0535324
2.39793, 0.073142, 0.0515694
2.46454, 0.0836196, 0.0644923
2.53115, 0.0844753, 0.0653356
2.59776, 0.0863001, 0.0667215
2.66437, 0.0861852, 0.0660143
2.73098, 0.0867176, 0.0656605
2.79759, 0.0871728, 0.0633565
2.86419, 0.0971906, 0.0768133
2.9308, 0.0988056, 0.078115
2.99741, 0.100671, 0.0795285
3.06402, 0.100468, 0.0786493
3.13063, 0.101323, 0.0782284
3.19724, 0.102264, 0.0763812
3.26385, 0.112201, 0.090402
3.33046, 0.114323, 0.092184
3.39707, 0.116255, 0.0934992
3.46368, 0.116201, 0.0928407
3.53029, 0.117429, 0.0922176
3.5969, 0.118525, 0.0903843
3.6635, 0.128709, 0.104444
3.73011, 0.13083, 0.106167
3.79672, 0.132538, 0.10747
3.86333, 0.132463, 0.106481
3.92994, 0.133542, 0.105406
3.99655, 0.134684, 0.103427
4.06316, 0.135387, 0.117404
4.12977, 0.13702, 0.119391
4.19638, 0.138295, 0.120652
4.26299, 0.1384, 0.120047
4.3296, 0.139852, 0.119077
4.39621, 0.140829, 0.117164
4.46282, 0.141711, 0.123758
4.52942, 0.143256, 0.125459
4.59603, 0.144427, 0.12687
4.66264, 0.14444, 0.126188
4.72925, 0.145807, 0.125292
4.79586, 0.146645, 0.123682
4.86247, 0.147494, 0.127637
4.92908, 0.149257, 0.129842
4.99569, 0.150671, 0.13015
5.0623, 0.150549, 0.129351
5.12891, 0.151708, 0.128528
5.19552, 0.153378, 0.126847
5.26213, 0.154105, 0.130296
5.32873, 0.156003, 0.132098
5.39534, 0.157778, 0.132333
5.46195, 0.157466, 0.131238
5.52856, 0.159043, 0.130821
5.59517, 0.161427, 0.129421
5.66178, 0.162031, 0.132306
5.72839, 0.164618, 0.13406
5.795, 0.166102, 0.134025
5.86161, 0.165696, 0.13299
5.92822, 0.16734, 0.132491
5.99483, 0.169278, 0.131321
6.06144, 0.170238, 0.133799
6.12804, 0.172976, 0.135137
6.19465, 0.174054, 0.134518
6.26126, 0.173708, 0.133428
6.32787, 0.175295, 0.133387
6.39448, 0.176872, 0.13204
6.46109, 0.177745, 0.133988
6.5277, 0.1803, 0.135111
6.59431, 0.180974, 0.134377
6.66092, 0.181133, 0.133793
6.72753, 0.182381, 0.133542
6.79414, 0.18398, 0.132756
6.86075, 0.185486, 0.134555
6.92735, 0.187451, 0.13495
6.99396, 0.188719, 0.134134
7.06057, 0.189049, 0.133697
7.12718, 0.190262, 0.13346
7.19379, 0.191665, 0.132381
7.2604, 0.19333, 0.133386
