The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
Time of video, Queue Density, Dynamic Density
0.0666092, 0.00977701, 0
0.133218, 0.0100779, 0
0.199828, 0.0101204, 0
0.266437, 0.0100247, 0
0.333046, 0.0100926, 0
0.399655, 0.0102654, 0
0.466264, 0.0103364, 0.000208333
0.532873, 0.0203789, 0.00836265
0.599483, 0.020814, 0.00802199
0.666092, 0.0209259, 0.00822415
0.732701, 0.0211003, 0.00826543
0.79931, 0.021267, 0.00767747
0.865919, 0.0214043, 0.00776698
0.932529, 0.0216867, 0.00806944
0.999138, 0.0319421, 0.0186173
1.06575, 0.0325733, 0.0185644
1.13236, 0.0329182, 0.0190112
1.19897, 0.0333889, 0.0190972
1.26557, 0.0335, 0.0183194
1.33218, 0.0341327, 0.0184074
1.39879, 0.0343904, 0.0187515
1.4654, 0.044936, 0.0303395
1.53201, 0.0455965, 0.0302998
1.59862, 0.0461914, 0.0307936
1.66523, 0.0467685, 0.0308071
1.73184, 0.0468302, 0.0297454
1.79845, 0.0475617, 0.0300355
1.86506, 0.0480864, 0.0302593
1.93167, 0.0586736, 0.0427114
1.99828, 0.0591397, 0.042515
2.06488, 0.0598719, 0.0432488
2.13149, 0.0608117, 0.0431049
2.1981, 0.0608549, 0.0415849
2.26471, 0.0616296, 0.0418765
2.33132, 0.0619321, 0.0422099
2.39793, 0.0725594, 0.0551296
2.46454, 0.0732214, 0.0551393
2.53115, 0.0738318, 0.0556084
2.59776, 0.0748364, 0.0548025
2.66437, 0.0748503, 0.0532654
2.73098, 0.0756605, 0.0535694
2.79759, 0.0755031, 0.0538657
2.86419, 0.0866813, 0.067909
2.9308, 0.0875918, 0.0679464
2.99741, 0.0883225, 0.0682434
3.06402, 0.0894414, 0.0673704
3.13063, 0.0899414, 0.0662901
3.19724, 0.0908796, 0.066662
3.26385, 0.0908117, 0.0670247
3.33046, 0.102266, 0.0819429
3.39707, 0.103325, 0.0820081
3.46368, 0.104429, 0.0825482
3.53029, 0.105702, 0.0815401
3.5969, 0.106241, 0.0803904
3.6635, 0.107387, 0.0809414
3.73011, 0.107302, 0.0809522
3.79672, 0.118529, 0.096713
3.86333, 0.119437, 0.0965081
3.92994, 0.120796, 0.0970721
3.99655, 0.121778, 0.0955525
4.06316, 0.122279, 0.0941404
4.12977, 0.123639, 0.0946358
4.19638, 0.12336, 0.0949398
4.26299, 0.134655, 0.110272
4.3296, 0.135675, 0.109828
4.39621, 0.137386, 0.11024
4.46282, 0.138144, 0.108931
4.52942, 0.139014, 0.107529
4.59603, 0.140415, 0.108233
4.66264, 0.14012, 0.108633
4.72925, 0.141562, 0.123941
4.79586, 0.142762, 0.123678
4.86247, 0.144406, 0.124629
4.92908, 0.145505, 0.123321
4.99569, 0.146594, 0.122023
5.0623, 0.14781, 0.122966
5.12891, 0.148093, 0.123017
5.19552, 0.149443, 0.130108
5.26213, 0.150974, 0.13054
5.32873, 0.153227, 0.131532
5.39534, 0.154258, 0.130375
5.46195, 0.155748, 0.129929
5.52856, 0.157536, 0.131123
5.59517, 0.157733, 0.131071
5.66178, 0.159457, 0.135517
5.72839, 0.160869, 0.135643
5.795, 0.163102, 0.135978
5.86161, 0.163753, 0.134619
5.92822, 0.164895, 0.134534
5.99483, 0.166349, 0.135205
6.06144, 0.167052, 0.134833
6.12804, 0.168458, 0.137653
6.19465, 0.169883, 0.137611
6.26126, 0.171852, 0.137529
6.32787, 0.171813, 0.135147
6.39448, 0.173167, 0.135248
6.46109, 0.174326, 0.135869
6.5277, 0.174444, 0.135315
6.59431, 0.175753, 0.13683
6.66092, 0.177213, 0.136732
6.72753, 0.17931, 0.136433
6.79414, 0.179082, 0.134551
6.86075, 0.180832, 0.135522
6.92735, 0.182373, 0.136545
6.99396, 0.182798, 0.136204
7.06057, 0.184353, 0.137625
7.12718, 0.185907, 0.137583
7.19379, 0.188414, 0.137805
7.2604, 0.188366, 0.136924
7.32701, 0.1906, 0.13806
7.39362, 0.192171, 0.138903
7.46023, 0.193247, 0.138032
7.52684, 0.194406, 0.138261
7.59345, 0.195733, 0.138316
7.66006, 0.198432, 0.138623
7.72666, 0.197948, 0.137562
7.79327, 0.199801, 0.13813
7.85988, 0.201611, 0.138752
7.92649, 0.202591, 0.137718
7.9931, 0.203563, 0.136741
8.05971, 0.204597, 0.136526
8.12632, 0.207153, 0.136792
8.19293, 0.206613, 0.136009
8.25954, 0.208648, 0.136931
8.32615, 0.210637, 0.137585
8.39276, 0.211512, 0.137088
