The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
Time of video, Queue Density, Dynamic Density
0.0666092, 0.0100779, 0.000208333
0.133218, 0.00991204, 0
0.199828, 0.0100247, 0
0.266437, 0.0100926, 0
0.333046, 0.0102654, 0
0.399655, 0.0103364, 0
0.466264, 0.0106019, 4.16667e-05
0.532873, 0.0107361, 0
0.599483, 0.0208835, 0.00869637
0.666092, 0.0207793, 0.00873611
0.732701, 0.0211991, 0.0085
0.79931, 0.0212315, 0.00814352
0.865919, 0.0218241, 0.00866049
0.932529, 0.0216914, 0.00833642
0.999138, 0.0221528, 0.00801543
1.06575, 0.0225201, 0.0081713
1.13236, 0.0329637, 0.0194101
1.19897, 0.0330123, 0.0197037
1.26557, 0.0339275, 0.0196605
1.33218, 0.0341435, 0.0192176
1.39879, 0.0346096, 0.0198102
1.4654, 0.0349228, 0.0195664
1.53201, 0.0354259, 0.0189583
1.59862, 0.0358997, 0.0193642
1.66523, 0.0465023, 0.0314325
1.73184, 0.0464414, 0.0317022
1.79845, 0.0474151, 0.0317099
1.86506, 0.0476728, 0.0309769
1.93167, 0.0481528, 0.0312716
1.99828, 0.048588, 0.031071
2.06488, 0.0494691, 0.030446
2.13149, 0.049716, 0.0307886
2.1981, 0.0603619, 0.0437805
2.26471, 0.060287, 0.0440787
2.33132, 0.0615093, 0.044054
2.39793, 0.0617546, 0.0427639
2.46454, 0.062321, 0.0430247
2.53115, 0.0624043, 0.0426235
2.59776, 0.0636728, 0.0417392
2.66437, 0.0637469, 0.0422145
2.73098, 0.0741412, 0.0560475
2.79759, 0.0746173, 0.0566227
2.86419, 0.0758796, 0.0564275
2.9308, 0.0762454, 0.0548889
2.99741, 0.0771343, 0.0555741
3.06402, 0.077287, 0.0554367
3.13063, 0.0786836, 0.0543889
3.19724, 0.0792639, 0.0549799
3.26385, 0.0897261, 0.0702265
3.33046, 0.0903503, 0.0706057
3.39707, 0.0919861, 0.0704167
3.46368, 0.0927145, 0.068892
3.53029, 0.0934336, 0.0696157
3.5969, 0.0937947, 0.0696281
3.6635, 0.0949661, 0.0681512
3.73011, 0.0957346, 0.0686204
3.79672, 0.10588, 0.0847265
3.86333, 0.106718, 0.0851296
3.92994, 0.108062, 0.084429
3.99655, 0.108753, 0.082642
4.06316, 0.109685, 0.0835185
4.12977, 0.11006, 0.0834074
4.19638, 0.111093, 0.0817099
4.26299, 0.111972, 0.0819398
4.3296, 0.12247, 0.0993746
4.39621, 0.123083, 0.0995208
4.46282, 0.125005, 0.0988364
4.52942, 0.125529, 0.0967346
4.59603, 0.126446, 0.0979491
4.66264, 0.126952, 0.0977917
4.72925, 0.128049, 0.0962006
4.79586, 0.129113, 0.0962515
4.86247, 0.140064, 0.11333
4.92908, 0.140756, 0.113726
4.99569, 0.142873, 0.113412
5.0623, 0.144035, 0.111715
5.12891, 0.145137, 0.112552
5.19552, 0.146108, 0.113012
5.26213, 0.147468, 0.112242
5.32873, 0.148733, 0.112454
5.39534, 0.150315, 0.130072
5.46195, 0.151917, 0.130862
5.52856, 0.15384, 0.130592
5.59517, 0.155728, 0.129173
5.66178, 0.156526, 0.129773
5.72839, 0.157847, 0.130043
5.795, 0.15865, 0.129185
5.86161, 0.159585, 0.129671
5.92822, 0.161051, 0.138612
5.99483, 0.163281, 0.139292
6.06144, 0.16466, 0.138429
6.12804, 0.166418, 0.136789
6.19465, 0.166782, 0.136809
6.26126, 0.16814, 0.136761
6.32787, 0.168701, 0.135494
6.39448, 0.169196, 0.135958
6.46109, 0.170267, 0.141472
6.5277, 0.17208, 0.141704
6.59431, 0.173014, 0.140612
6.66092, 0.174853, 0.138961
6.72753, 0.175517, 0.138715
6.79414, 0.176599, 0.13804
6.86075, 0.177752, 0.137238
6.92735, 0.178223, 0.13773
6.99396, 0.179215, 0.142311
7.06057, 0.181427, 0.142976
7.12718, 0.18259, 0.141703
7.19379, 0.184841, 0.140664
7.2604, 0.185946, 0.141099
7.32701, 0.186762, 0.140676
7.39362, 0.187937, 0.139728
7.46023, 0.18879, 0.14058
7.52684, 0.189759, 0.144446
7.59345, 0.192299, 0.145416
7.66006, 0.19289, 0.143889
7.72666, 0.195259, 0.143728
7.79327, 0.196645, 0.144262
7.85988, 0.197807, 0.143625
7.92649, 0.198684, 0.142852
7.9931, 0.199356, 0.143309
8.05971, 0.201015, 0.146046
8.12632, 0.203103, 0.146313
8.19293, 0.203872, 0.144777
8.25954, 0.206094, 0.145023
8.32615, 0.207452, 0.144912
8.39276, 0.208537, 0.144239
8.45937, 0.209117, 0.143627
