The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
The video is over!
Time of video, Queue Density, Dynamic Density
0.0666092, 0.0101026, 0.000208333
0.133218, 0.010233, 0
0.199828, 0.0103009, 0.000208333
0.266437, 0.0102654, 0
0.333046, 0.0103364, 0
0.399655, 0.0106019, 0.000190586
0.466264, 0.0107361, 0.000190586
0.532873, 0.0108056, 0
0.599483, 0.0108673, 0.000208333
0.666092, 0.0210687, 0.00938426
0.732701, 0.0215802, 0.00895216
0.79931, 0.0216512, 0.00902006
0.865919, 0.0216204, 0.00866049
0.932529, 0.0218873, 0.00885031
0.999138, 0.0223858, 0.00848997
1.06575, 0.0228164, 0.00846528
1.13236, 0.0230386, 0.00839198
1.19897, 0.0235957, 0.00837346
1.26557, 0.0337724, 0.0207716
1.33218, 0.0343657, 0.020466
1.39879, 0.0346744, 0.0203981
1.4654, 0.0346852, 0.0200694
1.53201, 0.0350586, 0.020054
1.59862, 0.035716, 0.0197261
1.66523, 0.0364537, 0.0197106
1.73184, 0.0365262, 0.0195177
1.79845, 0.037125, 0.0186682
1.86506, 0.0473156, 0.0328889
1.93167, 0.0482392, 0.03275
1.99828, 0.0485093, 0.0320494
2.06488, 0.0485015, 0.031679
2.13149, 0.0489182, 0.0319336
2.1981, 0.0495617, 0.0314421
2.26471, 0.0505478, 0.0313727
2.33132, 0.0503997, 0.0307153
2.39793, 0.0510849, 0.0297253
2.46454, 0.0613403, 0.0448681
2.53115, 0.0622346, 0.0446698
2.59776, 0.0623318, 0.0438364
2.66437, 0.0620725, 0.0433781
2.73098, 0.0630401, 0.0438673
2.79759, 0.0638904, 0.0430679
2.86419, 0.0648302, 0.0430332
2.9308, 0.0650046, 0.0424282
2.99741, 0.0661759, 0.0420031
3.06402, 0.0765177, 0.0584336
3.13063, 0.0775432, 0.058233
3.19724, 0.0779167, 0.057463
3.26385, 0.0778056, 0.0568272
3.33046, 0.0791466, 0.0577701
3.39707, 0.0801512, 0.0567315
3.46368, 0.0811296, 0.0566829
3.53029, 0.0817207, 0.0560779
3.5969, 0.0824583, 0.0553873
3.6635, 0.0927801, 0.07301
3.73011, 0.0936559, 0.072392
3.79672, 0.0940756, 0.071196
3.86333, 0.0940895, 0.0706173
3.92994, 0.0953935, 0.0716528
3.99655, 0.0961944, 0.0701327
4.06316, 0.0973951, 0.0701582
4.12977, 0.0978472, 0.069081
4.19638, 0.098696, 0.0685339
4.26299, 0.109161, 0.0872485
4.3296, 0.110022, 0.0864167
4.39621, 0.11081, 0.0851697
4.46282, 0.110866, 0.0847377
4.52942, 0.112363, 0.0859861
4.59603, 0.112878, 0.0844491
4.66264, 0.114519, 0.084527
4.72925, 0.114988, 0.0832431
4.79586, 0.116082, 0.0825432
4.86247, 0.126834, 0.102659
4.92908, 0.127682, 0.101656
4.99569, 0.129119, 0.100824
5.0623, 0.129349, 0.100324
5.12891, 0.13131, 0.102042
5.19552, 0.132296, 0.101139
5.26213, 0.134306, 0.101379
5.32873, 0.135108, 0.100002
5.39534, 0.136946, 0.0999244
5.46195, 0.147825, 0.120333
5.52856, 0.149259, 0.120022
5.59517, 0.150773, 0.118589
5.66178, 0.151216, 0.118248
